Quarter,Time,Tm,Detail,STL,SDG
1.0,9:10,Chargers,Nick Novak 23 yard field goal,0,3
,1:03,Rams,Greg Zuerlein 22 yard field goal,3,3
2.0,11:32,Rams,Jackrabbit Jenkins 99 yard interception return (Greg Zuerlein kick),10,3
,0:02,Chargers,Nick Novak 48 yard field goal,10,6
3.0,9:50,Chargers,Ryan Mathews 32 yard rush (Nick Novak kick),10,13
,9:29,Chargers,Andrew Gachkar 13 yard defensive fumble return (Nick Novak kick),10,20
,6:18,Rams,Tavon Austin 6 yard rush (Greg Zuerlein kick),17,20
4.0,8:09,Chargers,Keenan Allen 29 yard pass from Philip Rivers (Nick Novak kick),17,27
,2:04,Rams,Stedman Bailey 7 yard pass from Shaun Hill (Greg Zuerlein kick),24,27
