Unnamed: 0,STL,SDG
First Downs,16,19
Rush-Yds-TDs,24-107-1,22-128-1
Cmp-Att-Yd-TD-INT,19-36-217-1-2,29-35-291-1-1
Sacked-Yards,1-7,3-9
Net Pass Yards,210,282
Total Yards,317,410
Fumbles-Lost,2-1,3-2
Turnovers,3,3
Penalties-Yards,9-90,8-85
Third Down Conv.,6-14,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,28:51,31:09
