Unnamed: 0,PIT,SEA
First Downs,19,19
Rush-Yds-TDs,30-105-0,25-98-1
Cmp-Att-Yd-TD-INT,21-35-226-1-0,18-31-215-1-0
Sacked-Yards,2-11,5-24
Net Pass Yards,215,191
Total Yards,320,289
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,11-76,5-35
Third Down Conv.,4-14,3-11
Fourth Down Conv.,0-1,0-0
Time of Possession,32:23,27:37
