Quarter,Time,Tm,Detail,PIT,SEA
1.0,11:22,Seahawks,Josh Brown 36 yard field goal,0,3
2.0,12:12,Steelers,Jeff Reed 49 yard field goal,3,3
,7:05,Seahawks,Josh Brown 46 yard field goal,3,6
3.0,10:39,Seahawks,Josh Brown 34 yard field goal,3,9
,3:54,Steelers,Jeff Reed 33 yard field goal,6,9
4.0,12:28,Seahawks,Darrell Jackson 14 yard pass from Matt Hasselbeck (Josh Brown kick),6,16
,9:32,Steelers,Hines Ward 2 yard pass from Tommy Maddox (Jeff Reed kick),13,16
,7:21,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),13,23
,3:24,Steelers,Jeff Reed 21 yard field goal,16,23
