Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 57 yards, returned by Mark Jones for 17 yards (tackle by John Kuhn)",0.000,0.940
1,14:57,1,10,CAR 30,0,0,"Jake Delhomme pass complete deep right to Muhsin Muhammad for 44 yards (tackle by Tramon Williams). Muhsin Muhammad fumbles (forced by Tramon Williams), recovered by Charles Woodson at GNB-21 (tackle by Steve Smith)",0.940,-0.150
1,14:41,1,10,GNB 19,0,0,Ryan Grant left end for 4 yards (tackle by Ken Lucas),0.150,0.210
1,14:10,2,6,GNB 23,0,0,Aaron Rodgers pass incomplete deep right intended for Donald Driver,0.210,-0.550
1,14:04,3,6,GNB 23,0,0,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,-0.550,-1.830
1,14:00,4,6,GNB 23,0,0,"Derrick Frost punts 40 yards, returned by Mark Jones for 12 yards (tackle by Desmond Bishop)",-1.830,-2.190
1,13:50,1,10,CAR 49,0,0,DeAngelo Williams left end for 1 yard (tackle by Brady Poppinga and A.J. Hawk),2.190,1.780
1,13:11,2,9,,0,0,Jake Delhomme pass complete short left to Muhsin Muhammad for 6 yards (tackle by Tramon Williams),1.780,1.880
1,12:48,3,3,GNB 44,0,0,Jake Delhomme pass incomplete short left intended for Muhsin Muhammad,1.880,0.330
1,12:44,4,3,GNB 44,0,0,Jason Baker punts 41 yards,0.330,0.380
1,12:33,1,10,GNB 3,0,0,Ryan Grant left end for 2 yards (tackle by Ken Lucas and Jon Beason),-0.380,-0.630
1,11:57,2,8,GNB 5,0,0,Ryan Grant left guard for 2 yards (tackle by Ma'ake Kemoeatu),-0.630,-0.950
1,11:14,3,6,GNB 7,0,0,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings,-0.950,-2.490
1,11:09,4,6,GNB 7,0,0,"Derrick Frost punts 48 yards, returned by Mark Jones for 13 yards (tackle by Brandon Chillar)",-2.490,-2.790
1,10:58,1,10,GNB 42,0,0,DeAngelo Williams left end for 7 yards (tackle by Mike Montgomery),2.790,3.190
