Unnamed: 0,CAR,GNB
First Downs,15,25
Rush-Yds-TDs,27-128-5,29-145-0
Cmp-Att-Yd-TD-INT,12-17-177-0-0,29-45-298-3-1
Sacked-Yards,2-7,2-5
Net Pass Yards,170,293
Total Yards,298,438
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,2-12,8-49
Third Down Conv.,4-10,8-16
Fourth Down Conv.,0-0,1-1
Time of Possession,22:08,37:52
