Unnamed: 0,CHI,GNB
First Downs,18,12
Rush-Yds-TDs,31-86-0,22-76-1
Cmp-Att-Yd-TD-INT,17-36-277-1-4,17-28-184-1-0
Sacked-Yards,2-11,4-34
Net Pass Yards,266,150
Total Yards,352,226
Fumbles-Lost,0-0,0-0
Turnovers,4,0
Penalties-Yards,3-25,6-45
Third Down Conv.,4-15,4-14
Fourth Down Conv.,1-3,0-0
Time of Possession,33:03,26:57
