Quarter,Time,Tm,Detail,CHI,GNB
2.0,8:18,Packers,Mason Crosby 52 yard field goal,0,3
,5:52,Bears,"Safety, Aaron Rodgers sacked by Danieal Manning in the endzone.",2,3
,4:36,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),2,10
3.0,10:14,Bears,Devin Hester 36 yard pass from Jay Cutler (Robbie Gould kick),9,10
,3:51,Bears,Robbie Gould 47 yard field goal,12,10
4.0,10:10,Packers,Mason Crosby 39 yard field goal,12,13
,2:35,Bears,Robbie Gould 21 yard field goal,15,13
,1:11,Packers,Greg Jennings 50 yard pass from Aaron Rodgers (Greg Jennings pass from Aaron Rodgers),15,21
