Unnamed: 0,PIT,CAR
First Downs,24,20
Rush-Yds-TDs,34-264-1,10-42-0
Cmp-Att-Yd-TD-INT,22-30-196-2-0,29-41-330-2-0
Sacked-Yards,1-6,3-23
Net Pass Yards,190,307
Total Yards,454,349
Fumbles-Lost,0-0,3-2
Turnovers,0,2
Penalties-Yards,11-91,7-105
Third Down Conv.,3-11,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,34:39,25:21
