Unnamed: 0,BAL,TEN
First Downs,12,16
Rush-Yds-TDs,13-14-0,29-97-0
Cmp-Att-Yd-TD-INT,25-41-212-1-1,19-37-195-1-0
Sacked-Yards,6-44,1-2
Net Pass Yards,168,193
Total Yards,182,290
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,10-73,5-47
Third Down Conv.,4-16,7-17
Fourth Down Conv.,1-1,0-0
Time of Possession,26:54,33:06
