Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 71 yards, returned by B.J. Sams for 25 yards (tackle by Courtney Roby)",0.000,0.540
1,14:55,1,10,BAL 24,0,0,Jamal Lewis right guard for -3 yards (tackle by Peter Sirmon and Brad Kassell),0.540,-0.410
1,14:18,2,13,BAL 21,0,0,Jamal Lewis left tackle for -2 yards (tackle by Brad Kassell and Albert Haynesworth),-0.410,-1.430
1,13:34,3,15,BAL 19,0,0,Anthony Wright pass complete to Chester Taylor for 5 yards (tackle by Albert Haynesworth),-1.430,-1.770
1,13:03,4,10,BAL 24,0,0,"Dave Zastudil punts 45 yards, returned by Andrae Thurman for 4 yards (tackle by Adalius Thomas)",-1.770,-1.270
1,12:54,1,10,TEN 35,0,0,Steve McNair pass complete to Chris Brown for 11 yards (tackle by Adalius Thomas),1.270,1.990
1,12:30,1,10,TEN 46,0,0,Travis Henry left end for 4 yards (tackle by Jarret Johnson),1.990,1.990
1,11:51,2,6,TEN 50,0,0,Steve McNair pass incomplete intended for Brandon Jones,1.990,1.290
1,11:45,3,6,TEN 50,0,0,Steve McNair pass complete to Tyrone Calico for 9 yards (tackle by Ray Lewis),1.290,2.850
1,11:01,1,10,BAL 41,0,0,Steve McNair up the middle for 4 yards (tackle by Kelly Gregg),2.850,2.850
1,10:22,2,6,BAL 37,0,0,Travis Henry right tackle for 2 yards (tackle by Will Demps),2.850,2.410
1,9:40,3,4,BAL 35,0,0,Steve McNair pass incomplete intended for Travis Henry,2.410,0.980
1,9:36,4,4,BAL 35,0,0,"Craig Hentrich punts 35 yards, touchback",0.980,-0.280
1,9:29,1,10,BAL 20,0,0,Anthony Wright pass complete to Darnell Dinkins for 6 yards (tackle by Lamont Thompson),0.280,0.540
1,9:01,2,4,BAL 26,0,0,"Jamal Lewis right tackle for -1 yards (tackle by Andre Woolfolk and Randy Starks). Jamal Lewis fumbles (forced by Andre Woolfolk), recovered by Kyle Vanden Bosch at BAL-25",0.540,-3.910
1,8:54,1,10,BAL 25,0,0,Drew Bennett pass incomplete intended for Brandon Jones (defended by Chris McAlister),3.910,3.360
1,8:47,2,10,BAL 25,0,0,Chris Brown right guard for 22 yards (tackle by Ed Reed and Chris McAlister),3.360,6.510
1,7:59,,,,0,0,Timeout #1 by Tennessee Titans,0.000,6.510
1,7:59,1,3,BAL 3,0,0,"Steve McNair pass incomplete intended for Drew Bennett. Penalty on Chris McAlister: Defensive Holding, 1 yards (no play)",6.510,6.740
1,7:54,1,2,BAL 2,0,6,"Steve McNair pass complete to Troy Fleming for 2 yards, touchdown",6.740,7.000
1,,,,BAL 2,0,7,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 30,0,7,"Rob Bironas kicks off 68 yards, returned by B.J. Sams for 25 yards (tackle by Andrae Thurman)",0.000,0.740
1,7:42,1,10,BAL 27,0,7,"Anthony Wright pass complete to Derrick Mason for 15 yards. Penalty on Edwin Mulitalo: Offensive Holding, 10 yards (no play)",0.740,-0.170
1,7:23,1,20,BAL 17,0,7,Jamal Lewis left tackle for 3 yards (tackle by Antwan Odom and Randy Starks),-0.170,-0.750
1,6:45,2,17,BAL 20,0,7,Anthony Wright pass complete to Derrick Mason for 6 yards (tackle by Adam Jones),-0.750,-0.620
1,6:31,3,11,BAL 26,0,7,"Anthony Wright pass complete to Randy Hymes for 15 yards (tackle by Adam Jones and Michael Waddell). Penalty on Derrick Mason: Illegal Formation, 5 yards (no play)",-0.620,-1.290
1,6:13,3,16,BAL 21,0,7,Anthony Wright pass complete to Jamal Lewis for 9 yards (tackle by Keith Bulluck),-1.290,-1.370
1,6:04,4,7,BAL 30,0,7,"Dave Zastudil punts 44 yards, returned by Andrae Thurman for 6 yards (tackle by Bart Scott)",-1.370,-1.070
1,5:54,1,10,TEN 32,0,7,Chris Brown left guard for 3 yards (tackle by Ma'ake Kemoeatu and Kelly Gregg),1.070,0.930
1,5:17,2,7,TEN 35,0,7,Chris Brown right tackle for 1 yard (tackle by Anthony Weaver and Kelly Gregg),0.930,0.370
1,4:32,3,6,TEN 36,0,7,"Penalty on Brad Hopkins: False Start, 5 yards (no play)",0.370,-0.290
1,4:13,3,11,TEN 31,0,7,Steve McNair pass complete to Chris Brown for 12 yards (tackle by Adalius Thomas),-0.290,1.800
1,3:29,1,10,TEN 43,0,7,Travis Henry up the middle for 2 yards (tackle by Jarret Johnson and Kelly Gregg),1.800,1.520
1,2:43,2,8,TEN 45,0,7,Travis Henry right end for -1 yards (tackle by Kelly Gregg),1.520,0.690
1,2:03,3,9,TEN 44,0,7,Steve McNair pass complete to Brandon Jones for 16 yards (tackle by Will Demps),0.690,2.920
1,1:16,1,10,BAL 40,0,7,Steve McNair pass complete to Ben Troupe for 5 yards (tackle by Tommy Polley),2.920,3.050
1,0:35,2,5,BAL 35,0,7,Chris Brown right end for 3 yards (tackle by Ed Reed and Kelly Gregg),3.050,2.740
Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
