Quarter,Time,Tm,Detail,BAL,CLE
1,8:37,Ravens,Justin Tucker 44 yard field goal,3,0
2,0:40,Browns,Rashard Higgins 19 yard pass from Baker Mayfield (Greg Joseph kick failed),3,6
3,7:29,Browns,Greg Joseph 35 yard field goal,3,9
,0:53,Ravens,Justin Tucker 25 yard field goal,6,9
4,0:52,Ravens,Justin Tucker 32 yard field goal,9,9
OT,0:02,Browns,Greg Joseph 37 yard field goal,9,12
