#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BAL 25,8,3:16,33,Punt
2,1,9:33,CLE 33,4,0:56,7,Field Goal
3,1,2:55,BAL 16,4,2:16,33,Punt
4,2,13:21,BAL 48,8,3:53,50,Interception
5,2,7:28,BAL 42,3,1:22,5,Punt
6,2,3:45,BAL 40,3,1:46,3,Punt
7,2,0:40,BAL 25,6,0:40,45,End of Half
8,3,11:45,BAL 20,5,1:17,22,Fumble
9,3,7:29,BAL 25,13,6:36,68,Field Goal
10,4,13:38,BAL 12,5,2:05,32,Punt
11,4,9:19,BAL 26,4,1:51,11,Punt
12,4,4:29,BAL 34,11,3:37,52,Field Goal
13,4,0:05,BAL 45,1,0:05,13,End of Half
14,5,7:57,BAL 7,9,3:37,38,Punt
15,5,3:22,BAL 39,3,0:25,0,Punt
