Unnamed: 0,BAL,CLE
First Downs,25,20
Rush-Yds-TDs,25-116-0,28-112-0
Cmp-Att-Yd-TD-INT,29-57-298-0-1,25-43-342-1-1
Sacked-Yards,2-4,5-38
Net Pass Yards,294,304
Total Yards,410,416
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,4-41,10-66
Third Down Conv.,4-16,6-19
Fourth Down Conv.,1-1,0-1
Time of Possession,33:42,36:16
