Quarter,Time,Tm,Detail,NWE,PHI
1.0,13:38,Eagles,Jake Elliott 42 yard field goal,0,3
2.0,12:36,Eagles,Dallas Goedert 5 yard pass from Carson Wentz (Jake Elliott kick),0,10
,8:37,Patriots,Nick Folk 35 yard field goal,3,10
,3:21,Patriots,Nick Folk 22 yard field goal,6,10
,1:44,Patriots,Nick Folk 39 yard field goal,9,10
3.0,10:49,Patriots,Phillip Dorsett 15 yard pass from Julian Edelman (James White run),17,10
