Unnamed: 0,NWE,PHI
First Downs,19,21
Rush-Yds-TDs,22-74-0,21-81-0
Cmp-Att-Yd-TD-INT,27-48-231-1-0,20-40-214-1-0
Sacked-Yards,1-7,5-40
Net Pass Yards,224,174
Total Yards,298,255
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,6-89,7-39
Third Down Conv.,5-16,3-13
Fourth Down Conv.,0-0,0-1
Time of Possession,28:25,31:35
