Quarter,Time,Tm,Detail,STL,SFO
1.0,9:38,Rams,Brian Quick 36 yard pass from Sam Bradford (Greg Zuerlein kick),7,0
,1:47,Rams,Steven Jackson 7 yard rush (Greg Zuerlein kick),14,0
2.0,8:13,49ers,Michael Crabtree 14 yard pass from Alex Smith (David Akers kick),14,7
3.0,0:18,Rams,Greg Zuerlein 27 yard field goal,17,7
4.0,8:40,49ers,Colin Kaepernick 7 yard rush (David Akers kick),17,14
,8:23,49ers,Frank Gore 20 yard rush (David Akers kick),17,21
,1:09,Rams,Austin Pettis 2 yard pass from Sam Bradford (Greg Zuerlein kick),24,21
,0:03,49ers,David Akers 33 yard field goal,24,24
