Quarter,Time,Tm,Detail,PIT,DEN
1,11:14,Steelers,Shaun Suisham 45 yard field goal,3,0
,0:23,Steelers,Shaun Suisham 38 yard field goal,6,0
2,13:24,Broncos,Eddie Royal 30 yard pass from Tim Tebow (Matt Prater kick),6,7
,10:36,Broncos,Tim Tebow 8 yard rush (Matt Prater kick),6,14
,7:30,Broncos,Matt Prater 20 yard field goal,6,17
,1:05,Broncos,Matt Prater 28 yard field goal,6,20
3,4:29,Steelers,Mike Wallace 1 yard rush (Shaun Suisham kick),13,20
4,13:10,Broncos,Matt Prater 35 yard field goal,13,23
,9:59,Steelers,Shaun Suisham 37 yard field goal,16,23
,3:48,Steelers,Jerricho Cotchery 31 yard pass from Ben Roethlisberger (Shaun Suisham kick),23,23
OT,14:49,Broncos,Demaryius Thomas 80 yard pass from Tim Tebow,23,29
