Unnamed: 0,PIT,DEN
First Downs,21,18
Rush-Yds-TDs,23-156-1,34-131-1
Cmp-Att-Yd-TD-INT,22-40-289-1-1,10-21-316-2-0
Sacked-Yards,5-45,0-0
Net Pass Yards,244,316
Total Yards,400,447
Fumbles-Lost,2-0,2-1
Turnovers,1,1
Penalties-Yards,6-61,5-30
Third Down Conv.,7-16,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,31:06,29:05
