Unnamed: 0,GNB,ATL
First Downs,28,15
Rush-Yds-TDs,31-96-2,14-45-1
Cmp-Att-Yd-TD-INT,31-36-366-3-0,20-29-186-1-2
Sacked-Yards,2-20,5-37
Net Pass Yards,346,149
Total Yards,442,194
Fumbles-Lost,1-1,2-2
Turnovers,1,4
Penalties-Yards,6-65,7-32
Third Down Conv.,8-12,3-10
Fourth Down Conv.,0-0,1-2
Time of Possession,38:19,21:41
