Quarter,Time,Tm,Detail,GNB,ATL
1.0,5:00,Falcons,Michael Turner 12 yard rush (Matt Bryant kick),0,7
2.0,12:04,Packers,Jordy Nelson 6 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,11:50,Falcons,Eric Weems 102 yard kickoff return (Matt Bryant kick),7,14
,6:06,Packers,John Kuhn 1 yard rush (Mason Crosby kick),14,14
,0:42,Packers,James Jones 20 yard pass from Aaron Rodgers (Mason Crosby kick),21,14
,0:00,Packers,Tramon Williams 70 yard interception return (Mason Crosby kick),28,14
3.0,8:28,Packers,Aaron Rodgers 7 yard rush (Mason Crosby kick),35,14
,2:41,Packers,John Kuhn 7 yard pass from Aaron Rodgers (Mason Crosby kick),42,14
4.0,14:21,Falcons,Roddy White 6 yard pass from Matt Ryan (Matt Bryant kick),42,21
,6:29,Packers,Mason Crosby 43 yard field goal,45,21
,1:56,Packers,Mason Crosby 32 yard field goal,48,21
