Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 71 yards, returned by Eric Weems for 23 yards (tackle by Charlie Peprah)",0.000,0.410
1,14:55,1,10,ATL 22,0,0,Matt Ryan pass incomplete short right intended for Roddy White,0.410,-0.130
1,14:52,2,10,ATL 22,0,0,Michael Turner left guard for 4 yards (tackle by A.J. Hawk),-0.130,-0.290
1,14:11,3,6,ATL 26,0,0,Matt Ryan pass complete short right to Roddy White for 10 yards (tackle by Desmond Bishop),-0.290,1.330
1,13:29,1,10,ATL 36,0,0,Michael Turner left tackle for 5 yards (tackle by C.J. Wilson),1.330,1.470
1,12:48,2,5,ATL 41,0,0,Matt Ryan pass incomplete short right intended for Roddy White,1.470,0.760
1,12:41,3,5,ATL 41,0,0,Matt Ryan pass complete short right to Roddy White for 11 yards (tackle by Charles Woodson),0.760,2.390
1,12:04,1,10,GNB 48,0,0,Michael Turner middle for 2 yards (tackle by Charlie Peprah and Howard Green),2.390,2.120
1,11:22,2,8,GNB 46,0,0,Michael Turner left end for -2 yards (tackle by Cullen Jenkins),2.120,1.160
1,10:49,3,10,GNB 48,0,0,Matt Ryan pass complete short right to Jason Snelling for 4 yards (tackle by Charles Woodson),1.160,0.330
1,10:09,4,6,GNB 44,0,0,"Michael Koenen punts 33 yards, fair catch by Tramon Williams",0.330,0.370
1,10:01,1,10,GNB 11,0,0,James Starks right end for -3 yards (tackle by Kroy Biermann),-0.370,-1.000
1,9:16,2,13,GNB 8,0,0,Aaron Rodgers pass incomplete short left intended for Brandon Jackson,-1.000,-1.770
1,9:12,3,13,GNB 8,0,0,"Aaron Rodgers pass complete short middle to Greg Jennings for 30 yards (tackle by Stephen Nicholas). Greg Jennings fumbles (forced by Stephen Nicholas), recovered by Brent Grimes at GNB-46 (tackle by Donald Driver)",-1.770,-2.390
1,8:55,1,10,GNB 48,0,0,Michael Turner right end for 4 yards (tackle by Charles Woodson),2.390,2.390
1,8:15,2,6,GNB 44,0,0,Matt Ryan pass complete deep left to Michael Jenkins for 22 yards,2.390,4.110
1,7:44,1,10,GNB 22,0,0,Jason Snelling right tackle for 1 yard (tackle by Desmond Bishop and C.J. Wilson),4.110,3.700
1,6:59,2,9,GNB 21,0,0,Matt Ryan sacked by Clay Matthews for -4 yards,3.700,2.480
1,6:22,3,13,GNB 25,0,0,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Charlie Peprah),2.480,2.720
1,5:50,4,1,GNB 13,0,0,Ovie Mughelli middle for 1 yard (tackle by Ryan Pickett),2.720,4.780
1,5:07,1,10,GNB 12,0,6,"Michael Turner right tackle for 12 yards, touchdown",4.780,7.000
1,,,,GNB 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Michael Koenen kicks off 71 yards, returned by James Starks for 20 yards (tackle by Kroy Biermann)",0.000,0.150
1,4:54,1,10,GNB 19,0,7,"Aaron Rodgers pass incomplete short right intended for Greg Jennings. Penalty on John Abraham: Defensive Offside, 5 yards (no play)",0.150,0.940
1,4:50,1,5,GNB 24,0,7,James Starks for 4 yards (tackle by Thomas DeCoud),0.940,0.880
1,4:20,2,1,GNB 28,0,7,James Starks right tackle for 4 yards (tackle by Mike Peterson and Corey Peters),0.880,1.070
1,3:35,1,10,GNB 32,0,7,Brandon Jackson left end for 13 yards (tackle by Chris Owens and Curtis Lofton),1.070,1.930
1,2:56,1,10,GNB 45,0,7,James Starks middle for 4 yards (tackle by Mike Peterson),1.930,1.920
1,2:18,2,6,GNB 49,0,7,Aaron Rodgers pass complete short right to John Kuhn for 7 yards (tackle by Brent Grimes),1.920,2.650
1,1:30,1,10,ATL 44,0,7,James Starks left guard for 1 yard (tackle by Thomas DeCoud and Stephen Nicholas),2.650,2.250
1,0:53,2,9,ATL 43,0,7,Aaron Rodgers pass complete short right to Donald Driver for 2 yards (tackle by Jamaal Anderson),2.250,1.820
1,0:09,3,7,ATL 41,0,7,Aaron Rodgers pass complete deep middle to Greg Jennings for 18 yards (tackle by Chris Owens),1.820,4.040
Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 23,0,7,Aaron Rodgers pass complete short left to Donald Driver for 5 yards (tackle by Curtis Lofton),4.040,4.210
2,14:17,2,5,ATL 18,0,7,Aaron Rodgers pass complete short right to Greg Jennings for 2 yards (tackle by Chris Owens),4.210,3.850
2,13:32,3,3,ATL 16,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 8 yards (tackle by Sean Weatherspoon),3.850,5.370
2,12:52,1,8,ATL 8,0,7,James Starks middle for 2 yards (tackle by Corey Peters),5.370,4.950
2,12:10,2,6,ATL 6,6,7,"Aaron Rodgers pass complete short left to Jordy Nelson for 6 yards, touchdown",4.950,7.000
2,,,,ATL 2,7,7,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,7,13,"Mason Crosby kicks off 72 yards, returned by Eric Weems for 102 yards, touchdown",0.000,7.000
2,,,,GNB 2,7,14,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 30,7,14,"Michael Koenen kicks off 62 yards, muffed catch by James Starks, ball out of bounds at GNB-8",0.000,-0.380
2,11:49,1,10,GNB 8,7,14,Aaron Rodgers pass complete short left to Greg Jennings for 6 yards (tackle by Dunta Robinson),-0.380,-0.320
2,11:11,2,4,GNB 14,7,14,Aaron Rodgers pass complete short middle to Donald Driver for 24 yards (tackle by Chris Owens),-0.320,1.470
2,10:28,1,10,GNB 38,7,14,Aaron Rodgers pass complete short left to Greg Jennings for 12 yards (tackle by Jonathan Babineaux and Dunta Robinson),1.470,2.260
2,9:46,1,10,,7,14,Aaron Rodgers pass incomplete short right intended for Brandon Jackson,2.260,1.710
2,9:42,2,10,,7,14,Aaron Rodgers pass complete short right to James Jones for 34 yards (tackle by Brent Grimes). Penalty on Sean Weatherspoon: Illegal Contact (Declined),1.710,4.510
2,9:16,1,10,ATL 16,7,14,James Starks right end for 1 yard (tackle by Chris Owens),4.510,4.050
2,8:39,2,9,ATL 15,7,14,Aaron Rodgers pass complete short right to James Jones for 6 yards (tackle by Brent Grimes),4.050,4.390
2,7:59,3,3,ATL 9,7,14,"Aaron Rodgers sacked by Jonathan Babineaux for -6 yards. Penalty on Chris Owens: Illegal Contact, 5 yards (no play)",4.390,6.280
2,7:33,1,4,ATL 4,7,14,James Starks middle for 1 yard (tackle by Curtis Lofton),6.280,5.530
2,6:52,2,3,ATL 3,7,14,"Aaron Rodgers pass incomplete short left intended for Donald Driver. Penalty on Chris Owens: Defensive Pass Interfere, 2 yards (no play)",5.530,6.970
2,6:47,1,1,ATL 1,7,14,James Starks right guard for no gain (tackle by Kroy Biermann and Curtis Lofton),6.970,5.910
2,6:10,2,1,ATL 1,13,14,"John Kuhn right tackle for 1 yard, touchdown",5.910,7.000
2,,,,ATL 2,14,14,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,14,14,"Mason Crosby kicks off 57 yards, returned by Jason Snelling for 22 yards (tackle by Rob Francois)",0.000,1.270
2,6:00,1,10,ATL 35,14,14,Michael Turner left tackle for 4 yards (tackle by Erik Walden),1.270,1.260
2,5:26,2,6,ATL 39,14,14,Matt Ryan pass complete short right to Brian Finneran for 11 yards (tackle by Charlie Peprah and Charles Woodson),1.260,2.260
2,4:40,1,10,,14,14,"Matt Ryan pass incomplete short right intended for Roddy White. Penalty on Cullen Jenkins: Roughing the Passer, 15 yards (no play)",2.260,3.250
2,4:34,1,10,GNB 35,14,14,Michael Turner middle for 7 yards (tackle by Desmond Bishop and Charlie Peprah),3.250,3.650
2,4:04,2,3,GNB 28,14,14,Matt Ryan pass complete short left to Michael Jenkins for 13 yards (tackle by Sam Shields),3.650,4.580
2,3:48,1,10,GNB 15,14,14,Michael Turner left tackle for 1 yard (tackle by Ryan Pickett),4.580,4.110
2,3:45,2,9,GNB 14,14,14,"Penalty on Harvey Dahl: False Start, 5 yards (no play)",4.110,3.450
2,2:59,2,14,GNB 19,14,14,Matt Ryan sacked by Charles Woodson for -7 yards,3.450,1.880
2,2:30,3,21,GNB 26,14,14,Matt Ryan pass incomplete deep right intended for Michael Jenkins is intercepted by Tramon Williams at GNB-0,1.880,-0.280
2,2:20,1,10,GNB 20,14,14,Aaron Rodgers pass complete short right to Andrew Quarless for 6 yards (tackle by Sean Weatherspoon),0.280,0.540
2,2:00,2,4,GNB 26,14,14,"Penalty on Kroy Biermann: Neutral Zone Infraction, 5 yards (no play)",0.540,1.000
2,2:00,1,10,GNB 31,14,14,Aaron Rodgers for 6 yards (tackle by Dunta Robinson),1.000,1.270
2,1:53,2,4,GNB 37,14,14,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",1.270,0.600
