Unnamed: 0,BUF,NOR
First Downs,20,21
Rush-Yds-TDs,25-88-1,26-77-0
Cmp-Att-Yd-TD-INT,22-39-234-1-1,26-34-332-5-0
Sacked-Yards,4-23,4-23
Net Pass Yards,211,309
Total Yards,299,386
Fumbles-Lost,4-2,0-0
Turnovers,3,0
Penalties-Yards,6-45,8-59
Third Down Conv.,5-13,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,27:30,32:30
