Unnamed: 0,JAX,OAK
First Downs,15,16
Rush-Yds-TDs,19-34-0,34-226-1
Cmp-Att-Yd-TD-INT,25-38-241-1-0,15-24-126-0-0
Sacked-Yards,5-27,3-12
Net Pass Yards,214,114
Total Yards,248,340
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,10-70,5-30
Third Down Conv.,7-17,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,28:12,31:48
