Quarter,Time,Tm,Detail,JAX,OAK
1.0,10:52,Raiders,Marcel Reece 11 yard rush (Sebastian Janikowski kick),0,7
2.0,7:45,Jaguars,Josh Scobee 27 yard field goal,3,7
,0:03,Raiders,Sebastian Janikowski 46 yard field goal,3,10
3.0,9:18,Raiders,Sebastian Janikowski 30 yard field goal,3,13
4.0,13:49,Raiders,Sebastian Janikowski 29 yard field goal,3,16
,6:00,Raiders,Sebastian Janikowski 29 yard field goal,3,19
,2:53,Jaguars,Clay Harbor 13 yard pass from Chad Henne (pass failed),9,19
