Unnamed: 0,CAR,NOR
First Downs,13,13
Rush-Yds-TDs,26-85-0,30-125-0
Cmp-Att-Yd-TD-INT,20-32-203-1-2,12-31-145-0-2
Sacked-Yards,3-15,4-26
Net Pass Yards,188,119
Total Yards,273,244
Fumbles-Lost,3-1,3-1
Turnovers,3,3
Penalties-Yards,3-19,4-27
Third Down Conv.,3-14,4-17
Fourth Down Conv.,1-1,0-1
Time of Possession,30:20,29:40
