Unnamed: 0,TAM,TEN
First Downs,15,18
Rush-Yds-TDs,25-122-0,35-202-0
Cmp-Att-Yd-TD-INT,18-33-199-1-1,19-34-160-1-2
Sacked-Yards,2-13,2-10
Net Pass Yards,186,150
Total Yards,308,352
Fumbles-Lost,5-4,3-2
Turnovers,5,4
Penalties-Yards,4-30,5-50
Third Down Conv.,2-10,7-17
Fourth Down Conv.,0-1,1-2
Time of Possession,26:37,33:23
