Unnamed: 0,CHI,SEA
First Downs,26,18
Rush-Yds-TDs,30-88-2,24-170-1
Cmp-Att-Yd-TD-INT,24-35-250-1-0,16-27-181-2-0
Sacked-Yards,4-21,2-20
Net Pass Yards,229,161
Total Yards,317,331
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,8-73,7-88
Third Down Conv.,7-14,3-10
Fourth Down Conv.,1-3,0-1
Time of Possession,38:25,21:42
