Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Sony Michel,NWE,19,42,3,7,28,1.5,14,0.7,0,
James White,NWE,5,0,0,0,0,0.0,0,0.0,0,
Damien Harris,NWE,4,12,0,,8,2.0,4,1.0,0,
Julian Edelman,NWE,3,20,0,1,20,6.7,0,0.0,0,
Jarrett Stidham,NWE,2,-2,0,,-2,-1.0,0,0.0,0,
Brandon Bolden,NWE,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Le'Veon Bell,NYJ,15,70,0,3,34,2.3,36,2.4,1,15.0
Sam Darnold,NYJ,2,-1,0,0,-1,-0.5,0,0.0,0,
Ty Montgomery,NYJ,2,9,0,,3,1.5,6,3.0,0,
Bilal Powell,NYJ,1,3,0,1,0,0.0,3,3.0,0,
