Unnamed: 0,BUF,BAL
First Downs,10,18
Rush-Yds-TDs,14-39-0,30-111-0
Cmp-Att-Yd-TD-INT,20-35-237-1-2,23-36-216-0-1
Sacked-Yards,3-23,0-0
Net Pass Yards,214,216
Total Yards,253,327
Fumbles-Lost,1-1,1-0
Turnovers,3,1
Penalties-Yards,3-19,5-24
Third Down Conv.,5-13,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,23:39,36:21
