Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 59 yards, returned by Cory Ross for 26 yards (tackle by Ryan Denney)",0.000,1.400
1,14:53,1,10,BAL 37,0,0,Jamal Lewis for -1 yards (tackle by Chris Kelsay and Terrence McGee),1.400,0.720
1,14:17,2,11,BAL 36,0,0,Jamal Lewis middle for 7 yards (tackle by Donte Whitner and Chris Kelsay),0.720,0.960
1,13:34,3,4,BAL 43,0,0,Steve McNair pass complete short right to Derrick Mason for 5 yards,0.960,2.130
1,12:57,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,2.130
1,12:57,1,10,BAL 48,0,0,Steve McNair pass complete short left to Derrick Mason for 10 yards (tackle by Terrence McGee),2.130,2.790
1,12:11,1,10,BUF 42,0,0,Steve McNair pass incomplete short right intended for Derrick Mason,2.790,2.240
1,12:05,2,10,BUF 42,0,0,Steve McNair middle for 13 yards (tackle by Terrence McGee),2.240,3.640
1,11:23,1,10,BUF 29,0,0,Jamal Lewis middle for 2 yards (tackle by Terrence McGee and Ryan Denney),3.640,3.370
1,10:44,2,8,BUF 27,0,0,Steve McNair pass complete short left to Ovie Mughelli for 3 yards (tackle by Keith Ellison),3.370,3.070
1,9:58,3,5,BUF 24,0,0,Steve McNair pass complete short left to Derrick Mason for 8 yards (tackle by Donte Whitner and London Fletcher),3.070,4.510
1,9:14,1,10,BUF 16,0,0,Jamal Lewis right end for 1 yard (tackle by Takeo Spikes and Chris Kelsay),4.510,4.050
1,8:29,2,9,BUF 15,0,0,Steve McNair pass complete short left to Derrick Mason for 5 yards (tackle by Nate Clements),4.050,4.170
1,7:47,3,4,BUF 10,0,0,Steve McNair pass complete short right to Derrick Mason for 2 yards (tackle by London Fletcher and Nate Clements),4.170,2.990
1,7:13,4,2,BUF 8,0,3,Matt Stover 26 yard field goal good,2.990,3.000
1,7:08,,,BAL 30,0,3,"Matt Stover kicks off 59 yards, returned by Terrence McGee for 21 yards (tackle by Gerome Sapp)",0.000,1.070
1,6:59,1,10,BUF 32,0,3,"J.P. Losman pass complete short middle to Willis McGahee for 31 yards (tackle by Dawan Landry). Penalty on BUF: Illegal Shift, 5 yards (no play)",1.070,0.740
1,6:29,1,15,BUF 27,0,3,Willis McGahee left tackle for 1 yard (tackle by Bart Scott),0.740,-0.010
1,5:51,2,14,BUF 28,0,3,J.P. Losman pass complete short right to Peerless Price for 6 yards (tackle by Chris McAlister),-0.010,0.100
1,5:19,3,8,BUF 34,0,3,J.P. Losman pass incomplete short middle intended for Anthony Thomas (defended by Terrell Suggs),0.100,-1.110
1,5:12,4,8,BUF 34,0,3,"Brian Moorman punts 48 yards, returned by Cory Ross for 6 yards (tackle by Mario Haggan)",-1.110,-0.540
1,5:01,1,10,BAL 24,0,3,Steve McNair pass incomplete short middle intended for Derrick Mason is intercepted by London Fletcher at BAL-39,0.540,-2.980
1,4:52,1,10,BAL 39,0,3,J.P. Losman pass incomplete deep left intended for Peerless Price,2.980,2.440
1,4:47,2,10,BAL 39,0,3,Willis McGahee left tackle for no gain (tackle by Kelly Gregg),2.440,1.750
1,4:05,3,10,BAL 39,0,3,J.P. Losman pass incomplete short left intended for Josh Reed (defended by Adalius Thomas),1.750,0.660
1,3:57,4,10,BAL 39,0,3,"Brian Moorman punts 30 yards, out of bounds",0.660,0.380
1,3:48,1,10,BAL 9,0,3,"Penalty on Adam Terry: False Start, 4 yards (no play)",-0.380,-0.530
1,3:48,1,14,BAL 5,0,3,Ovie Mughelli middle for 2 yards (tackle by London Fletcher and Kyle Williams),-0.530,-0.930
1,3:14,2,12,BAL 7,0,3,Steve McNair pass complete short right to Ovie Mughelli for 9 yards (tackle by Terrence McGee and Takeo Spikes),-0.930,-0.600
1,2:29,3,3,BAL 16,0,3,Steve McNair pass complete short right to Demetrius Williams for 5 yards (tackle by Terrence McGee),-0.600,0.340
1,1:49,1,10,BAL 21,0,3,Jamal Lewis middle for 4 yards (tackle by Chris Kelsay and Keith Ellison),0.340,0.340
1,1:09,2,6,BAL 25,0,3,Jamal Lewis middle for 3 yards (tackle by Donte Whitner),0.340,0.040
1,0:30,3,3,BAL 28,0,3,"Penalty on Mark Clayton: False Start, 5 yards (no play)",0.040,-0.630
1,0:13,3,8,BAL 23,0,3,Steve McNair pass complete short left to Mark Clayton for 20 yards (tackle by Anthony Hargrove),-0.630,1.800
Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 43,0,3,Steve McNair pass incomplete deep left intended for Mark Clayton (defended by Nate Clements),1.800,1.250
2,14:54,2,10,BAL 43,0,3,Steve McNair pass complete short right to Quinn Sypniewski for 9 yards (tackle by Keith Ellison),1.250,1.750
2,14:12,3,1,BUF 48,0,3,"Jamal Lewis middle for 1 yard (tackle by Ryan Denney). Penalty on Aaron Schobel: Defensive Offside, 4 yards (no play)",1.750,2.650
