Quarter,Time,Tm,Detail,BUF,BAL
1.0,7:08,Ravens,Matt Stover 26 yard field goal,0,3
2.0,1:32,Ravens,Matt Stover 37 yard field goal,0,6
3.0,12:28,Ravens,Matt Stover 39 yard field goal,0,9
,8:08,Bills,Lee Evans 44 yard pass from J.P. Losman (Rian Lindell kick),7,9
,3:46,Ravens,Chris McAlister 31 yard interception return (Matt Stover kick),7,16
4.0,4:48,Ravens,Matt Stover 29 yard field goal,7,19
