Unnamed: 0,OAK,BUF
First Downs,10,25
Rush-Yds-TDs,30-98-1,30-116-2
Cmp-Att-Yd-TD-INT,9-19-156-1-0,24-39-279-1-1
Sacked-Yards,1-7,3-17
Net Pass Yards,149,262
Total Yards,247,378
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,4-25,4-25
Third Down Conv.,2-12,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,25:33,34:27
