Quarter,Time,Tm,Detail,OAK,BUF
1.0,12:40,Raiders,Sebastian Janikowski 23 yard field goal,3,0
,0:31,Raiders,Sebastian Janikowski 35 yard field goal,6,0
2.0,10:30,Bills,Marshawn Lynch 14 yard rush (Rian Lindell kick),6,7
,1:56,Raiders,Sebastian Janikowski 32 yard field goal,9,7
3.0,7:30,Raiders,JaMarcus Russell 1 yard rush (Sebastian Janikowski kick),16,7
4.0,7:59,Bills,Marshawn Lynch 3 yard rush (Rian Lindell kick),16,14
,6:23,Raiders,Johnnie Lee Higgins 84 yard pass from JaMarcus Russell (Sebastian Janikowski kick),23,14
,4:03,Bills,Roscoe Parrish 14 yard pass from Trent Edwards (Rian Lindell kick),23,21
,0:00,Bills,Rian Lindell 38 yard field goal,23,24
