Quarter,Time,Tm,Detail,PIT,IND
1.0,9:25,Steelers,Antwaan Randle El 6 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
,3:12,Steelers,Heath Miller 7 yard pass from Ben Roethlisberger (Jeff Reed kick),14,0
2.0,1:20,Colts,Mike Vanderjagt 20 yard field goal,14,3
3.0,1:26,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),21,3
4.0,14:09,Colts,Dallas Clark 50 yard pass from Peyton Manning (Mike Vanderjagt kick),21,10
,4:24,Colts,Edgerrin James 3 yard rush (Reggie Wayne pass from Peyton Manning),21,18
