Unnamed: 0,PIT,IND
First Downs,21,15
Rush-Yds-TDs,42-112-1,14-58-1
Cmp-Att-Yd-TD-INT,14-24-197-2-1,22-38-290-1-0
Sacked-Yards,2-14,5-43
Net Pass Yards,183,247
Total Yards,295,305
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,2-8,9-67
Third Down Conv.,6-14,3-13
Fourth Down Conv.,2-2,1-2
Time of Possession,34:52,25:08
