Quarter,Time,Tm,Detail,JAX,NWE
1.0,10:02,Patriots,Daniel Graham 27 yard pass from Tom Brady (Adam Vinatieri kick),0,7
,7:19,Jaguars,Seth Marler 24 yard field goal,3,7
2.0,14:13,Patriots,Adam Vinatieri 22 yard field goal,3,10
,7:18,Jaguars,Seth Marler 23 yard field goal,6,10
,2:30,Patriots,Adam Vinatieri 31 yard field goal,6,13
4.0,10:57,Patriots,Troy Brown 10 yard pass from Tom Brady (Adam Vinatieri kick),6,20
,4:18,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),6,27
,3:22,Jaguars,Kevin Johnson 27 yard pass from Byron Leftwich (Seth Marler kick),13,27
