Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Seth Marler kicks off 47 yards, returned by David Givens for 11 yards (tackle by Tony Gilbert)",0.000,1.200
1,14:57,1,10,NWE 34,0,0,Tom Brady pass complete to Kevin Faulk for -4 yards (tackle by Tony Brackens),1.200,0.120
1,14:20,2,14,NWE 30,0,0,Kevin Faulk right guard for 5 yards (tackle by John Henderson and Mike Peterson),0.120,0.100
1,13:41,3,9,NWE 35,0,0,Tom Brady pass complete to Deion Branch for 16 yards,0.100,2.320
1,13:14,1,10,JAX 49,0,0,"Tom Brady pass incomplete intended for Deion Branch. Penalty on Hugh Douglas: Encroachment, 5 yards (no play)",2.320,3.050
1,13:08,1,5,JAX 44,0,0,Tom Brady pass complete to David Givens for 6 yards (tackle by Rashean Mathis),3.050,3.050
1,12:32,1,10,JAX 38,0,0,Kevin Faulk left end for 1 yard (tackle by Donovin Darius),3.050,2.640
1,12:05,2,9,JAX 37,0,0,Tom Brady pass complete to Daniel Graham for 6 yards (tackle by Akin Ayodele),2.640,2.740
1,11:22,3,3,JAX 31,0,0,Larry Centers up the middle for 1 yard (tackle by John Henderson and Deke Cooper),2.740,1.500
1,10:43,4,2,JAX 30,0,0,Tom Brady pass complete to David Givens for 3 yards (tackle by Rashean Mathis),1.500,3.780
1,10:08,1,10,JAX 27,0,6,"Tom Brady pass complete to Daniel Graham for 27 yards, touchdown",3.780,7.000
1,,,,JAX 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 30,0,7,"Adam Vinatieri kicks off 63 yards, returned by David Allen for 17 yards (tackle by Don Davis)",0.000,0.540
1,9:57,1,10,JAX 24,0,7,Byron Leftwich pass complete to Jimmy Smith for 67 yards (tackle by Rodney Harrison),0.540,5.140
1,9:10,1,9,NWE 9,0,7,Fred Taylor up the middle for 3 yards (tackle by Ted Washington and Roman Phifer),5.140,4.950
1,8:30,2,6,NWE 6,0,7,"Penalty on Cortez Hankton: False Start, 5 yards (no play)",4.950,4.020
1,8:03,2,11,NWE 11,0,7,Byron Leftwich pass complete to Kyle Brady for 6 yards (tackle by Willie McGinest),4.020,4.260
1,7:27,3,5,NWE 5,0,7,Byron Leftwich pass incomplete intended for Kyle Brady,4.260,3.010
1,7:23,4,5,NWE 5,3,7,Seth Marler 24 yard field goal good,3.010,3.000
1,,,,JAX 30,3,7,"Seth Marler kicks off 42 yards, returned by Tedy Bruschi for 9 yards (tackle by Ray Perryman)",0.000,1.400
1,7:14,1,10,NWE 37,3,7,Tom Brady pass complete to Kevin Faulk for 6 yards (tackle by Rob Meier),1.400,1.670
1,6:40,2,4,NWE 43,3,7,Kevin Faulk left end for 1 yard (tackle by Mike Peterson and Rashean Mathis),1.670,1.090
1,6:00,,,,3,7,Timeout #1 by Jacksonville Jaguars,0.000,1.090
1,6:00,3,3,NWE 44,3,7,Tom Brady up the middle for 7 yards (tackle by Fernando Bryant),1.090,2.320
1,5:28,1,10,JAX 49,3,7,Tom Brady pass incomplete intended for Kevin Faulk,2.320,1.780
1,5:26,2,10,JAX 49,3,7,Kevin Faulk up the middle for -4 yards (tackle by Marcus Stroud),1.780,0.560
1,4:51,3,14,NWE 47,3,7,Tom Brady pass complete to David Givens for 18 yards (tackle by Fernando Bryant),0.560,3.250
1,4:13,1,10,JAX 35,3,7,Tom Brady sacked by John Henderson for -10 yards,3.250,1.350
1,3:49,2,20,JAX 45,3,7,Tom Brady pass complete to Daniel Graham for no gain,1.350,0.700
1,3:08,3,20,JAX 45,3,7,Tom Brady pass complete to Troy Brown for 23 yards (tackle by Deke Cooper),0.700,4.110
1,2:20,1,10,JAX 22,3,7,Kevin Faulk up the middle for 4 yards (tackle by John Henderson and Mike Peterson),4.110,4.130
1,1:47,2,6,JAX 18,3,7,Tom Brady pass complete to Daniel Graham for 6 yards (tackle by Akin Ayodele),4.130,4.780
1,1:03,1,10,JAX 12,3,7,Kevin Faulk right guard for 7 yards (tackle by Donovin Darius),4.780,5.410
1,0:27,2,3,JAX 5,3,7,Antowain Smith up the middle for 2 yards (tackle by Mike Peterson and Danny Clark),5.410,5.060
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,JAX 3,3,7,Antowain Smith left guard for -1 yards (tackle by Tony Brackens and Anthony Mitchell),5.060,3.040
2,14:16,4,2,JAX 4,3,10,Adam Vinatieri 22 yard field goal good,3.040,3.000
2,,,,NWE 30,3,10,"Adam Vinatieri kicks off 66 yards, returned by David Allen for 23 yards (tackle by Patrick Pass)",0.000,0.740
2,14:07,1,10,JAX 27,3,10,Fred Taylor right guard for 4 yards (tackle by Bobby Hamilton),0.740,0.740
2,13:29,2,6,JAX 31,3,10,Byron Leftwich pass complete to Chris Luzar for 21 yards,0.740,2.390
2,13:06,1,10,NWE 48,3,10,Fred Taylor right tackle for 5 yards (tackle by Tedy Bruschi),2.390,2.520
2,12:28,2,5,NWE 43,3,10,Fred Taylor left tackle for 10 yards (tackle by Rodney Harrison and Tyrone Poole),2.520,3.380
2,11:46,1,10,NWE 33,3,10,Byron Leftwich pass complete to Kyle Brady for 2 yards (tackle by Tyrone Poole),3.380,3.110
2,11:23,2,8,NWE 31,3,10,Byron Leftwich pass complete to Kevin Johnson for 15 yards (tackle by Rodney Harrison),3.110,4.510
2,10:43,1,10,NWE 16,3,10,Byron Leftwich right guard for 1 yard (tackle by Tedy Bruschi),4.510,4.050
2,10:04,2,9,NWE 15,3,10,Fred Taylor right tackle for 1 yard (tackle by Ty Law and Ted Washington),4.050,3.370
2,9:22,3,8,NWE 14,3,10,Byron Leftwich pass complete to Kevin Johnson for 9 yards (tackle by Ty Law),3.370,6.060
2,8:46,1,5,NWE 5,3,10,Fred Taylor up the middle for 1 yard (tackle by Richard Seymour),6.060,5.340
2,8:11,2,4,NWE 4,3,10,Fred Taylor left end for -1 yards (tackle by Rodney Harrison and Eugene Wilson),5.340,4.260
2,7:24,3,5,NWE 5,3,10,Byron Leftwich pass incomplete intended for Fred Taylor,4.260,3.010
2,7:20,4,5,NWE 5,6,10,Seth Marler 23 yard field goal good,3.010,3.000
2,,,,JAX 30,6,10,"Seth Marler kicks off 52 yards, returned by Kevin Faulk for 21 yards (tackle by Cortez Hankton)",0.000,1.530
2,7:08,1,10,NWE 39,6,10,Tom Brady pass complete to Troy Brown for 2 yards (tackle by Mike Peterson),1.530,1.260
2,6:38,2,8,NWE 41,6,10,Tom Brady pass incomplete intended for Daniel Graham (defended by Rashean Mathis),1.260,0.560
2,6:32,3,8,NWE 41,6,10,Tom Brady pass incomplete intended for Troy Brown,0.560,-0.650
2,6:28,4,8,NWE 41,6,10,"Ken Walter punts 37 yards, muffed catch by David Allen, recovered by David Allen and returned for no gain",-0.650,-0.150
2,6:18,1,10,JAX 19,6,10,"Byron Leftwich sacked by Richard Seymour for -6 yards. Byron Leftwich fumbles (forced by Richard Seymour), recovered by Brad Meester at JAX-13",0.150,-1.210
2,5:41,2,16,JAX 13,6,10,Fred Taylor left guard for 1 yard (tackle by Richard Seymour and Mike Vrabel),-1.210,-1.920
2,4:58,3,15,JAX 14,6,10,Byron Leftwich pass incomplete intended for Kevin Johnson (defended by Asante Samuel),-1.920,-2.470
2,4:52,4,15,JAX 14,6,10,"Mark Royals punts 36 yards, returned by Troy Brown for 6 yards (tackle by Joe Zelenka)",-2.470,-2.650
2,4:42,1,10,JAX 44,6,10,Antowain Smith left tackle for 1 yard (tackle by Akin Ayodele and John Henderson),2.650,2.250
2,4:11,2,9,JAX 43,6,10,Tom Brady pass complete to David Givens for 32 yards (tackle by Rashean Mathis),2.250,4.840
2,3:25,1,10,JAX 11,6,10,Tom Brady pass incomplete intended for Troy Brown,4.840,4.140
2,3:20,2,10,JAX 11,6,10,Tom Brady pass complete to Antowain Smith for -2 yards (tackle by Mike Peterson),4.140,3.080
2,2:40,3,12,JAX 13,6,10,Tom Brady pass incomplete intended for Larry Centers,3.080,2.570
2,2:34,4,12,JAX 13,6,13,Adam Vinatieri 31 yard field goal good,2.570,3.000
2,,,,NWE 30,6,13,"Adam Vinatieri kicks off 59 yards, returned by David Allen for 25 yards (tackle by Shawn Mayer)",0.000,1.330
2,2:24,1,10,JAX 36,6,13,Byron Leftwich pass complete to Marc Edwards for 12 yards (tackle by Ty Law),1.330,2.130
2,2:00,1,10,JAX 48,6,13,Byron Leftwich pass complete to Kevin Johnson for 28 yards (tackle by Ty Law),2.130,3.970
2,1:55,1,10,NWE 24,6,13,Byron Leftwich pass incomplete intended for Kevin Johnson,3.970,3.430
2,1:50,2,10,NWE 24,6,13,Byron Leftwich up the middle for 5 yards (tackle by Rodney Harrison),3.430,3.410
2,1:09,3,5,NWE 19,6,13,Byron Leftwich pass complete to Cortez Hankton for 3 yards (tackle by Rodney Harrison),3.410,2.500
2,0:26,,,,6,13,Timeout #1 by New England Patriots,0.000,2.500
2,0:26,4,2,NWE 16,6,13,Seth Marler 34 yard field goal no good,2.500,-0.540
2,0:22,1,10,NWE 24,6,13,"Penalty on Paul Spicer: Encroachment, 5 yards (no play)",0.540,1.270
2,0:22,1,5,NWE 29,6,13,Tom Brady pass incomplete intended for David Givens,1.270,0.670
2,0:16,2,5,NWE 29,6,13,Tom Brady sacked by Mike Peterson for -6 yards,0.670,-0.820
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
