Quarter,Time,Tm,Detail,NYG,CHI
1.0,14:42,Bears,David Montgomery 2 yard rush (Cairo Santos kick),0,7
,8:08,Bears,Darnell Mooney 4 yard pass from Andy Dalton (Cairo Santos kick),0,14
2.0,7:45,Giants,Graham Gano 38 yard field goal,3,14
,1:01,Bears,Cairo Santos 21 yard field goal,3,17
,0:52,Bears,"Safety, Devontae Booker tackled in end zone by Angelo Blackson",3,19
,0:00,Bears,Cairo Santos 44 yard field goal,3,22
3.0,9:30,Bears,David Montgomery 2 yard rush (Cairo Santos kick),3,29
