Unnamed: 0,NYG,CHI
First Downs,13,17
Rush-Yds-TDs,40-161-0,27-87-2
Cmp-Att-Yd-TD-INT,4-11-24-0-2,18-36-173-1-2
Sacked-Yards,4-30,2-11
Net Pass Yards,-6,162
Total Yards,155,249
Fumbles-Lost,4-2,0-0
Turnovers,4,2
Penalties-Yards,3-26,5-35
Third Down Conv.,1-11,6-16
Fourth Down Conv.,0-1,2-3
Time of Possession,29:52,30:08
