Quarter,Time,Tm,Detail,ARI,SFO
1.0,5:33,Cardinals,Jay Feely 35 yard field goal,3,0
2.0,13:44,Cardinals,Jay Feely 31 yard field goal,6,0
,7:20,49ers,Michael Crabtree 49 yard pass from Colin Kaepernick (David Akers kick),6,7
3.0,11:07,49ers,David Akers 43 yard field goal,6,10
,5:58,49ers,Michael Crabtree 7 yard pass from Colin Kaepernick (David Akers kick),6,17
4.0,12:59,49ers,Frank Gore 2 yard rush (David Akers kick),6,24
,9:07,49ers,David Akers 26 yard field goal,6,27
,1:59,Cardinals,Michael Floyd 37 yard pass from Brian Hoyer (Jay Feely kick),13,27
