Unnamed: 0,ARI,SFO
First Downs,11,20
Rush-Yds-TDs,17-55-0,37-129-1
Cmp-Att-Yd-TD-INT,19-34-225-1-1,17-29-282-2-0
Sacked-Yards,2-18,1-4
Net Pass Yards,207,278
Total Yards,262,407
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,5-34,3-25
Third Down Conv.,3-12,4-14
Fourth Down Conv.,1-1,2-2
Time of Possession,23:57,36:03
