Quarter,Time,Tm,Detail,DAL,CIN
1.0,8:36,Cowboys,Dan Bailey 37 yard field goal,3,0
,6:41,Bengals,Andrew Hawkins 8 yard pass from Andy Dalton (Josh Brown kick),3,7
,1:39,Bengals,Josh Brown 25 yard field goal,3,10
2.0,10:33,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),10,10
,3:24,Bengals,Josh Brown 33 yard field goal,10,13
3.0,9:22,Bengals,Josh Brown 25 yard field goal,10,16
,6:45,Bengals,Josh Brown 52 yard field goal,10,19
4.0,6:35,Cowboys,Dez Bryant 27 yard pass from Tony Romo (Dan Bailey kick),17,19
,0:00,Cowboys,Dan Bailey 40 yard field goal,20,19
