Unnamed: 0,DAL,CIN
First Downs,20,19
Rush-Yds-TDs,24-49-1,20-146-0
Cmp-Att-Yd-TD-INT,25-43-268-1-1,20-33-206-1-1
Sacked-Yards,3-29,5-16
Net Pass Yards,239,190
Total Yards,288,336
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-49,8-70
Third Down Conv.,11-19,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:11,29:49
