Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Josh Brown kicks off 72 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Tony Romo pass complete short right to James Hanna for 3 yards (tackle by Rey Maualuga),0.280,0.140
1,14:27,2,7,DAL 23,0,0,DeMarco Murray right tackle for 1 yard (tackle by Reggie Nelson),0.140,-0.430
1,13:45,3,6,DAL 24,0,0,Tony Romo pass complete short left to Dwayne Harris for 21 yards (tackle by Vontaze Burfict),-0.430,1.930
1,13:12,1,10,DAL 45,0,0,DeMarco Murray right end for 3 yards (tackle by Vontaze Burfict),1.930,1.790
1,12:33,2,7,DAL 48,0,0,Tony Romo pass complete short right to Lawrence Vickers for 11 yards (tackle by Terence Newman and Michael Johnson),1.790,2.850
1,11:54,1,10,CIN 41,0,0,Felix Jones right guard for 4 yards (tackle by Vontaze Burfict),2.850,2.850
1,11:19,2,6,CIN 37,0,0,Tony Romo pass complete short middle to Jason Witten for 5 yards (tackle by Rey Maualuga),2.850,2.810
1,10:32,3,1,CIN 32,0,0,DeMarco Murray left guard for 4 yards (tackle by Leon Hall and Rey Maualuga),2.810,3.710
1,9:58,1,10,CIN 28,0,0,Tony Romo pass complete short left to Lawrence Vickers for 7 yards (tackle by Manny Lawson),3.710,4.110
1,9:30,2,3,CIN 21,0,0,DeMarco Murray right end for 2 yards (tackle by Robert Geathers and Domata Peko),4.110,3.720
1,8:45,3,1,CIN 19,0,0,Tony Romo pass incomplete short middle intended for James Hanna (defended by Chris Crocker),3.720,2.340
1,8:40,4,1,CIN 19,3,0,Dan Bailey 37 yard field goal good,2.340,3.000
1,8:36,,,DAL 35,3,0,"Dan Bailey kicks off 70 yards, returned by Brandon Tate for 35 yards (tackle by Gerald Sensabaugh)",0.000,0.940
1,8:28,1,10,CIN 30,3,0,Andy Dalton pass incomplete deep left intended for A.J. Green,0.940,0.390
1,8:22,2,10,CIN 30,3,0,BenJarvus Green-Ellis right guard for 19 yards (tackle by Danny McCray),0.390,0.000
1,7:45,,,,3,0,Timeout #1 by Dallas Cowboys,0.000,2.190
1,7:45,1,10,CIN 49,3,0,Marvin Jones left end for 37 yards (tackle by Danny McCray),2.190,4.650
1,7:05,1,10,DAL 14,3,0,Andy Dalton pass complete short left to Andrew Hawkins for 6 yards (tackle by Mike Jenkins and Morris Claiborne),4.650,5.090
1,6:49,2,4,DAL 8,3,6,"Andy Dalton pass complete short middle to Andrew Hawkins for 8 yards, touchdown",5.090,7.000
1,6:49,,,DAL 2,3,7,Josh Brown kicks extra point good,0.000,0.000
1,6:41,,,CIN 35,3,7,"Josh Brown kicks off 73 yards, touchback",0.000,0.280
1,6:41,1,10,DAL 20,3,7,DeMarco Murray up the middle for 4 yards (tackle by Manny Lawson),0.280,0.270
1,5:56,2,6,DAL 24,3,7,Tony Romo pass incomplete short left intended for Miles Austin,0.270,-0.430
1,5:51,3,6,DAL 24,3,7,Tony Romo pass incomplete short left intended for Dez Bryant,-0.430,-1.770
1,5:47,4,6,DAL 24,3,7,"Brian Moorman punts 23 yards, out of bounds",-1.770,-2.460
1,5:37,1,10,DAL 47,3,7,Andy Dalton pass complete deep middle to Marvin Jones for 17 yards (tackle by Morris Claiborne),2.460,3.580
1,5:05,1,10,DAL 30,3,7,BenJarvus Green-Ellis right guard for 3 yards (tackle by Anthony Spencer and Dan Connor),3.580,3.440
1,4:27,2,7,DAL 27,3,7,Andy Dalton pass incomplete short right intended for Jermaine Gresham,3.440,2.740
1,4:18,3,7,DAL 27,3,7,Andy Dalton pass complete short middle to A.J. Green for 16 yards (tackle by Gerald Sensabaugh and Morris Claiborne),2.740,4.840
1,3:47,1,10,DAL 11,3,7,BenJarvus Green-Ellis right guard for 2 yards (tackle by Eric Frampton and Anthony Spencer),4.840,4.510
1,3:03,2,8,DAL 9,3,7,Andy Dalton pass complete short middle to Andrew Hawkins for 4 yards (tackle by Ernie Sims and Eric Frampton),4.510,4.440
1,2:19,3,4,DAL 5,3,7,Andy Dalton sacked by Jason Hatcher for -2 yards,4.440,2.980
1,1:43,4,6,DAL 7,3,10,Josh Brown 25 yard field goal good,2.980,3.000
1,1:39,,,CIN 35,3,10,"Josh Brown kicks off 73 yards, touchback",0.000,0.280
1,1:39,1,10,DAL 20,3,10,DeMarco Murray right guard for 7 yards (tackle by Vontaze Burfict),0.280,0.680
1,1:01,2,3,DAL 27,3,10,DeMarco Murray left end for 2 yards (tackle by Leon Hall),0.680,0.230
1,0:19,3,1,DAL 29,3,10,Tony Romo pass complete short middle to DeMarco Murray for 4 yards (tackle by Manny Lawson),0.230,1.140
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 33,3,10,Tony Romo pass incomplete deep left intended for Miles Austin,1.140,0.590
2,14:53,2,10,DAL 33,3,10,Felix Jones right guard for 3 yards (tackle by Rey Maualuga and Geno Atkins),0.590,0.300
2,14:09,3,7,DAL 36,3,10,Tony Romo pass incomplete short left intended for Dez Bryant,0.300,-0.980
2,14:04,4,7,DAL 36,3,10,Brian Moorman punts 39 yards,-0.980,-0.610
2,13:49,1,10,CIN 25,3,10,"Penalty on Rob Callaway: Encroachment, 5 yards (no play)",0.610,1.340
2,13:49,1,5,CIN 30,3,10,BenJarvus Green-Ellis left guard for 8 yards (tackle by Danny McCray),1.340,1.470
2,13:27,1,10,CIN 38,3,10,BenJarvus Green-Ellis left guard for 1 yard (tackle by Anthony Spencer),1.470,1.060
2,12:54,2,9,CIN 39,3,10,Andy Dalton pass complete short right to A.J. Green for 11 yards (tackle by Brandon Carr),1.060,2.260
2,12:16,1,10,,3,10,Andy Dalton pass incomplete short right intended for A.J. Green is intercepted by Brandon Carr at DAL-36 and returned for 37 yards (tackle by Kevin Zeitler),2.260,-3.780
2,12:00,1,10,CIN 27,3,10,Tony Romo pass complete deep middle to Jason Witten for 25 yards (tackle by Reggie Nelson),3.780,6.740
2,11:21,1,2,CIN 2,3,10,Tony Romo pass incomplete short right intended for Miles Austin,6.740,5.720
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned.",,
2,11:15,2,2,CIN 2,3,10,DeMarco Murray left guard for 1 yard (tackle by Dan Skuta and Rey Maualuga),5.720,5.170
2,10:39,3,1,CIN 1,9,10,"DeMarco Murray up the middle for 1 yard, touchdown",5.170,7.000
2,10:39,,,CIN 2,10,10,Dan Bailey kicks extra point good,0.000,0.000
2,10:33,,,DAL 35,10,10,"Dan Bailey kicks off 66 yards, returned by Brandon Tate for 20 yards (tackle by Brady Poppinga)",0.000,0.150
2,10:27,1,10,CIN 19,10,10,Brian Leonard up the middle for 2 yards (tackle by Anthony Spencer and Marcus R. Spears),0.150,-0.060
