Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 70 yards, returned by Andre' Davis for 25 yards (tackle by Ruvell Martin)",0.000,0.610
1,14:55,1,10,HOU 25,0,0,Matt Schaub pass complete short right to Vonta Leach for 5 yards (tackle by Tramon Williams),0.610,0.740
1,14:19,2,5,HOU 30,0,0,Steve Slaton left end for 12 yards (tackle by Nick Collins and Mike Montgomery),0.740,1.730
1,13:30,1,10,HOU 42,6,0,"Matt Schaub pass complete deep left to Kevin Walter for 58 yards, touchdown",1.730,7.000
1,,,,GNB 2,7,0,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,7,0,"Kris Brown kicks off 57 yards, returned by Will Blackmon for 19 yards (tackle by Kevin Bentley)",0.000,1.070
1,13:25,1,10,GNB 32,7,0,Ryan Grant left tackle for 6 yards (tackle by Anthony Weaver and DeMeco Ryans),1.070,1.340
1,12:50,2,4,GNB 38,7,0,Ryan Grant right end for 2 yards (tackle by Jesse Nading and Tim Bulman),1.340,0.890
1,12:10,3,2,GNB 40,7,0,"Aaron Rodgers pass incomplete deep left intended for Donald Driver. Penalty on DelJuan Robinson: Defensive Holding, 5 yards (no play)",0.890,1.930
1,12:04,1,10,GNB 45,7,0,Aaron Rodgers pass incomplete short right intended for Jermichael Finley (defended by Eugene Wilson),1.930,1.380
1,11:58,2,10,GNB 45,7,0,Ryan Grant left guard for 5 yards (tackle by DeMeco Ryans and Kevin Bentley),1.380,1.360
1,11:15,3,5,,7,0,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,1.360,-0.060
1,11:10,4,5,,7,0,Jeremy Kapinos punts 25 yards,-0.060,-0.610
1,11:03,1,10,HOU 25,7,0,Steve Slaton right end for 6 yards (tackle by Desmond Bishop),0.610,0.870
1,10:26,2,4,HOU 31,7,0,Steve Slaton right end for 3 yards (tackle by Aaron Kampman),0.870,0.560
1,9:36,3,1,HOU 34,7,0,Cecil Sapp right end for -3 yards (tackle by Desmond Bishop),0.560,-1.310
1,9:06,4,4,HOU 31,7,0,"Matt Turk punts 38 yards, fair catch by Will Blackmon",-1.310,-1.000
1,8:58,1,10,GNB 31,7,0,"Aaron Rodgers pass complete deep right to Donald Driver for 45 yards (tackle by Jacques Reeves). Penalty on Donald Driver: Offensive Pass Interference, 10 yards (no play)",1.000,0.340
1,8:29,1,20,GNB 21,7,0,Ryan Grant left end for 6 yards (tackle by Eugene Wilson),0.340,-0.080
1,7:47,2,14,GNB 27,7,0,Aaron Rodgers up the middle for 4 yards (tackle by DeMeco Ryans),-0.080,-0.230
1,7:04,3,10,GNB 31,7,0,"Aaron Rodgers pass complete short left to Jordy Nelson for 12 yards (tackle by Jacques Reeves). Penalty on Chad Clifton: Offensive Holding, 10 yards (no play)",-0.230,-1.550
1,6:36,3,20,GNB 21,7,0,Aaron Rodgers pass complete short left to Jordy Nelson for 10 yards (tackle by DeMeco Ryans),-1.550,-1.310
1,6:04,4,10,GNB 31,7,0,"Jeremy Kapinos punts 48 yards, returned by Jacoby Jones for 25 yards (tackle by Danny Lansanah). Penalty on Antwaun Molden: Illegal Block Above the Waist, 10 yards",-1.310,0.370
1,5:50,1,10,HOU 11,7,0,Matt Schaub pass incomplete deep right intended for Kevin Walter,-0.370,-0.780
1,5:43,2,10,HOU 11,7,0,Matt Schaub pass incomplete short middle intended for Kevin Walter,-0.780,-1.420
1,5:38,3,10,HOU 11,7,0,Steve Slaton left end for 13 yards (tackle by Charles Woodson),-1.420,0.540
1,4:59,1,10,HOU 24,7,0,Steve Slaton left tackle for 1 yard (tackle by Aaron Kampman and Alfred Malone),0.540,0.130
1,4:18,2,9,HOU 25,7,0,Matt Schaub pass incomplete deep right intended for Andre Johnson (defended by Charles Woodson),0.130,-0.560
1,4:10,3,9,HOU 25,7,0,Matt Schaub pass incomplete short right intended for David Anderson,-0.560,-1.700
1,4:04,4,9,HOU 25,7,0,"Matt Turk punts 42 yards, returned by Will Blackmon for 10 yards (tackle by Dominique Barber). Penalty on Jarrett Bush: Offensive Holding, 10 yards",-1.700,-0.540
1,3:54,1,10,GNB 24,7,0,Aaron Rodgers pass complete short right to Tory Humphrey for 22 yards (tackle by Brandon Harrison),0.540,1.990
1,3:15,1,10,GNB 46,7,0,Ryan Grant left end for 3 yards (tackle by Anthony Weaver),1.990,1.860
1,2:35,2,7,GNB 49,7,0,Ryan Grant right end for 2 yards (tackle by Travis Johnson),1.860,1.420
1,1:56,3,5,HOU 49,7,0,Aaron Rodgers pass incomplete short right intended for James Jones,1.420,0.000
1,1:53,4,5,HOU 49,7,0,"Jeremy Kapinos punts 49 yards, touchback",0.000,-0.280
1,1:44,1,10,HOU 20,7,0,Ryan Moats left end for 3 yards (tackle by Al Harris),0.280,0.140
1,1:08,2,7,HOU 23,7,0,Matt Schaub pass incomplete,0.140,-0.560
1,1:01,3,7,HOU 23,7,0,Matt Schaub pass complete short middle to David Anderson for 13 yards (tackle by Will Blackmon),-0.560,1.330
1,0:23,1,10,HOU 36,7,0,Steve Slaton right end for 34 yards (tackle by Nick Collins),1.330,3.580
Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 30,7,0,Steve Slaton up the middle for no gain (tackle by Tramon Williams and Johnny Jolly),3.580,3.030
2,14:25,2,10,GNB 30,7,0,Matt Schaub pass complete short right to Andre Johnson for 19 yards (tackle by Al Harris),3.030,4.840
2,13:59,1,10,GNB 11,7,0,Steve Slaton left tackle for 2 yards (tackle by Johnny Jolly and Ryan Pickett),4.840,4.510
2,13:21,2,8,GNB 9,7,0,"Matt Schaub pass complete short right to Owen Daniels for 8 yards (tackle by Desmond Bishop). Owen Daniels fumbles (forced by Desmond Bishop), recovered by Tramon Williams at GNB-3 (tackle by Eric Winston)",4.510,0.380
2,13:12,1,10,GNB 3,7,0,Ryan Grant right end for 1 yard,-0.380,-0.710
2,12:35,2,9,GNB 4,7,0,Aaron Rodgers pass complete short left to Donald Driver for 11 yards (tackle by DelJuan Robinson),-0.710,-0.220
