Unnamed: 0,HOU,GNB
First Downs,25,16
Rush-Yds-TDs,31-141-0,20-108-1
Cmp-Att-Yd-TD-INT,28-42-414-2-1,19-30-295-2-1
Sacked-Yards,1-6,2-16
Net Pass Yards,408,279
Total Yards,549,387
Fumbles-Lost,6-3,0-0
Turnovers,4,1
Penalties-Yards,4-30,6-65
Third Down Conv.,7-13,1-10
Fourth Down Conv.,1-1,0-0
Time of Possession,34:03,25:57
