Quarter,Time,Tm,Detail,HOU,GNB
1.0,13:30,Texans,Kevin Walter 58 yard pass from Matt Schaub (Kris Brown kick),7,0
2.0,5:07,Packers,Donald Lee 20 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,1:50,Texans,Kris Brown 30 yard field goal,10,7
3.0,11:53,Texans,Kris Brown 41 yard field goal,13,7
4.0,14:56,Packers,Ryan Grant 6 yard rush (Mason Crosby kick),13,14
,10:05,Texans,Andre Johnson 11 yard pass from Matt Schaub (Andre Johnson pass from Matt Schaub),21,14
,5:56,Packers,Jordy Nelson 9 yard pass from Aaron Rodgers (Mason Crosby kick),21,21
,0:00,Texans,Kris Brown 40 yard field goal,24,21
