Unnamed: 0,ATL,SFO
First Downs,25,20
Rush-Yds-TDs,20-61-1,30-199-2
Cmp-Att-Yd-TD-INT,37-48-348-2-2,13-21-197-1-0
Sacked-Yards,1-7,3-17
Net Pass Yards,341,180
Total Yards,402,379
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-37,7-45
Third Down Conv.,8-15,4-9
Fourth Down Conv.,1-1,0-0
Time of Possession,30:28,29:32
