Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete short left to Patrick DiMarco for 2 yards (tackle by Patrick Willis),0.280,0.000
1,14:27,2,8,ATL 22,0,0,Steven Jackson right guard for 7 yards (tackle by Ahmad Brooks and Glenn Dorsey),0.000,0.230
1,13:47,3,1,ATL 29,0,0,Garrett Reynolds for 2 yards (tackle by Ray McDonald),0.230,1.000
1,13:03,1,10,ATL 31,0,0,Matt Ryan pass complete short right to Steven Jackson for -3 yards (tackle by Ray McDonald),1.000,0.060
1,12:31,2,13,ATL 28,0,0,Steven Jackson up the middle for 2 yards (tackle by Justin Smith and Patrick Willis),0.060,-0.360
1,11:51,3,11,ATL 30,0,0,Matt Ryan pass incomplete short right intended for Roddy White,-0.360,-1.370
1,11:46,4,11,ATL 30,0,0,"Matthew Bosher punts 48 yards, returned by LaMichael James for 10 yards (tackle by Drew Davis)",-1.370,-1.070
1,11:35,1,10,SFO 32,0,0,Colin Kaepernick pass complete short right to Anquan Boldin for 6 yards (tackle by Robert Alford),1.070,1.340
1,11:04,2,4,SFO 38,0,0,Frank Gore up the middle for 10 yards (tackle by William Moore),1.340,2.130
1,10:30,1,10,SFO 48,0,0,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,2.130,1.580
1,10:26,2,10,SFO 48,0,0,Colin Kaepernick pass complete short right to Anquan Boldin for 15 yards (tackle by Stephen Nicholas),1.580,3.120
1,9:52,1,10,ATL 37,0,0,Frank Gore up the middle for no gain (tackle by Stephen Nicholas),3.120,2.570
1,9:10,2,10,ATL 37,0,0,Colin Kaepernick left end for 8 yards (tackle by Joplo Bartu),2.570,2.940
1,8:39,3,2,ATL 29,0,0,Colin Kaepernick sacked by Corey Peters for -2 yards,2.940,1.370
1,8:01,4,4,ATL 31,0,3,Phil Dawson 49 yard field goal good,1.370,3.000
1,8:01,,,SFO 35,0,3,"Phil Dawson kicks off 67 yards, returned by Jacquizz Rodgers for 20 yards (tackle by Corey Lemonier)",0.000,-0.040
1,7:50,1,10,ATL 18,0,3,Steven Jackson up the middle for 2 yards (tackle by Patrick Willis),0.040,-0.130
1,7:11,2,8,ATL 20,0,3,Matt Ryan pass complete short left to Drew Davis for 1 yard (tackle by Carlos Rogers and NaVorro Bowman),-0.130,-0.790
1,6:28,3,7,ATL 21,0,3,Matt Ryan pass complete short middle to Harry Douglas for 7 yards (tackle by Eric Reid),-0.790,0.810
1,5:53,1,10,ATL 28,0,3,"Penalty on Lamar Holmes: False Start, 5 yards (no play)",0.810,0.480
1,5:34,1,15,ATL 23,0,3,Matt Ryan pass complete short right to Tony Gonzalez for 2 yards (tackle by Tony Jerod-Eddie),0.480,-0.140
1,4:52,2,13,ATL 25,0,3,Matt Ryan pass incomplete short right intended for Roddy White (defended by Tarell Brown),-0.140,-0.820
1,4:47,3,13,ATL 25,0,3,Matt Ryan pass complete short left to Tony Gonzalez for 11 yards (tackle by NaVorro Bowman),-0.820,-0.980
1,4:09,4,2,ATL 36,0,3,"Matthew Bosher punts 56 yards, fair catch by LaMichael James",-0.980,0.380
1,4:01,1,10,SFO 8,0,3,Frank Gore right end for 9 yards (tackle by Thomas DeCoud),-0.380,0.050
1,3:15,2,1,SFO 17,0,3,Colin Kaepernick right end for 2 yards (tackle by William Moore),0.050,0.150
1,2:43,1,10,SFO 19,0,3,Colin Kaepernick pass incomplete deep right intended for Vernon Davis. Penalty on Alex Boone: Ineligible Downfield Pass (Declined),0.150,-0.390
1,2:32,2,10,SFO 19,0,3,Colin Kaepernick pass complete short left to Michael Crabtree for 3 yards (tackle by William Moore),-0.390,-0.680
1,1:48,3,7,SFO 22,0,3,Colin Kaepernick pass complete deep right to Anquan Boldin for 22 yards (tackle by Robert McClain),-0.680,1.860
1,1:24,1,10,SFO 44,0,3,Frank Gore right guard for 7 yards (tackle by Stephen Nicholas),1.860,2.260
1,0:53,2,3,ATL 49,0,3,"Penalty on Joe Staley: False Start, 5 yards (no play)",2.260,1.590
1,0:30,2,8,SFO 46,0,3,"Colin Kaepernick pass incomplete deep left intended for Michael Crabtree. Penalty on Michael Crabtree: Offensive Pass Interference, 10 yards (no play)",1.590,0.240
1,0:22,2,18,SFO 36,0,3,Colin Kaepernick pass complete short middle to Kassim Osgood for 17 yards (tackle by Joplo Bartu),0.240,1.820
Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,ATL 47,0,3,Colin Kaepernick sacked by Stephen Nicholas for -6 yards,1.820,-0.260
2,14:37,4,7,SFO 47,0,3,"Andy Lee punts 53 yards, touchback",-0.260,-0.280
2,14:18,1,10,ATL 20,0,3,Jacquizz Rodgers up the middle for 8 yards (tackle by Patrick Willis and Justin Smith),0.280,0.810
2,13:39,2,2,ATL 28,0,3,Matt Ryan pass complete short right to Roddy White for 4 yards (tackle by Carlos Rogers),0.810,1.070
2,13:05,1,10,ATL 32,0,3,Matt Ryan pass complete short right to Jacquizz Rodgers for 7 yards (tackle by Patrick Willis),1.070,1.470
2,12:25,2,3,ATL 39,0,3,Jacquizz Rodgers up the middle for -3 yards (tackle by Justin Smith),1.470,0.370
2,11:41,3,6,ATL 36,0,3,Matt Ryan pass complete short middle to Drew Davis for 59 yards (tackle by Carlos Rogers),0.370,0.370
2,11:01,3,6,ATL 36,0,3,Timeout #1 by San Francisco 49ers,0.370,6.060
2,11:01,1,5,SFO 5,0,3,Steven Jackson up the middle for 3 yards (tackle by Patrick Willis),6.060,5.720
2,10:25,2,2,SFO 2,0,3,"Penalty on Lamar Holmes: False Start, 5 yards (no play)",5.720,4.760
2,10:07,2,7,SFO 7,0,3,"Matt Ryan pass incomplete short right intended for Steven Jackson (defended by Donte Whitner). Penalty on Donte Whitner: Unnecessary Roughness, 3 yards, Penalty on Donte Whitner: Unsportsmanlike Conduct, 2 yards (no play)",4.760,6.740
2,9:58,1,2,SFO 2,6,3,"Steven Jackson left tackle for 2 yards, touchdown",6.740,7.000
2,9:58,,,SFO 2,7,3,Matt Bryant kicks extra point good,0.000,0.000
2,9:58,,,ATL 35,7,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
2,9:50,1,10,SFO 20,7,3,Frank Gore right end for 7 yards (tackle by Stephen Nicholas),0.280,0.680
2,9:07,2,3,SFO 27,7,3,Frank Gore right tackle for 6 yards (tackle by Stephen Nicholas and William Moore),0.680,1.140
2,8:31,1,10,SFO 33,7,3,Colin Kaepernick pass incomplete deep right intended for Vance McDonald,1.140,0.590
2,8:26,2,10,SFO 33,7,3,Frank Gore right guard for -3 yards (tackle by Joplo Bartu),0.590,-0.490
2,7:45,3,13,SFO 30,7,3,Colin Kaepernick left end for 6 yards (tackle by Peria Jerry),-0.490,-0.980
2,7:03,4,7,SFO 36,7,3,"Andy Lee punts 53 yards, returned by Robert McClain for 11 yards (tackle by Dan Skuta)",-0.980,-0.410
2,6:50,1,10,ATL 22,7,3,Steven Jackson up the middle for 5 yards (tackle by Donte Whitner),0.410,0.540
2,6:11,2,5,ATL 27,7,3,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by NaVorro Bowman),0.540,1.200
2,5:30,1,10,ATL 34,7,3,Steven Jackson up the middle for 7 yards (tackle by Tony Jerod-Eddie and Patrick Willis),1.200,1.600
2,4:56,2,3,ATL 41,7,3,Matt Ryan pass complete short right to Roddy White for 4 yards,1.600,1.930
2,4:34,1,10,ATL 45,7,3,Steven Jackson up the middle for 5 yards (tackle by NaVorro Bowman),1.930,2.060
2,3:52,2,5,,7,3,Matt Ryan sacked by Justin Smith for -7 yards,2.060,0.430
2,3:19,3,12,ATL 43,7,3,Matt Ryan pass complete short left to Jason Snelling for 6 yards (tackle by Patrick Willis),0.430,-0.130
2,2:34,4,6,ATL 49,7,3,"Matthew Bosher punts 38 yards, fair catch by LaMichael James",-0.130,0.320
2,2:25,1,10,SFO 13,7,3,Colin Kaepernick pass incomplete short left intended for Vance McDonald (defended by Stephen Nicholas),-0.320,-0.770
2,2:22,2,10,SFO 13,7,3,Colin Kaepernick pass complete short middle to Frank Gore for 6 yards (tackle by Joplo Bartu),-0.770,-0.710
2,2:00,3,4,SFO 19,7,3,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by Robert McClain),-0.710,-2.140
2,1:57,4,4,SFO 19,7,3,"Andy Lee punts 50 yards, returned by Robert McClain for 22 yards (tackle by Dan Skuta)",-2.140,-2.460
2,1:41,1,10,SFO 47,7,3,Jacquizz Rodgers right tackle for 5 yards (tackle by NaVorro Bowman),2.460,2.590
2,1:21,2,5,SFO 42,7,3,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Tarell Brown),2.590,3.180
2,1:01,1,10,SFO 36,7,3,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Patrick Willis),3.180,2.640
2,0:57,2,10,SFO 36,7,3,Matt Ryan pass complete short middle to Jacquizz Rodgers for 6 yards (tackle by Patrick Willis),2.640,2.640
2,0:50,2,10,SFO 36,7,3,Timeout #1 by Atlanta Falcons,2.640,2.740
2,0:50,3,4,SFO 30,7,3,Matt Ryan pass complete short left to Tony Gonzalez for 4 yards (tackle by Patrick Willis),2.740,2.740
2,0:26,3,4,SFO 30,7,3,Timeout #2 by San Francisco 49ers,2.740,3.840
2,0:26,1,10,SFO 26,7,3,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Carlos Rogers),3.840,3.300
2,0:21,2,10,SFO 26,7,3,Jason Snelling up the middle for -2 yards (tackle by NaVorro Bowman),3.300,3.300
2,0:17,2,10,SFO 26,7,3,Timeout #2 by Atlanta Falcons,3.300,2.350
2,0:17,3,12,SFO 28,7,3,Matt Ryan pass complete short right to Harry Douglas for 11 yards (tackle by Donte Whitner),2.350,2.460
2,0:10,4,1,SFO 17,10,3,Matt Bryant 35 yard field goal good,2.460,3.000
2,0:10,,,ATL 35,10,3,"Matthew Bosher kicks off 52 yards, returned by Kendall Hunter for 30 yards (tackle by Kevin Cone)",0.000,1.270
Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,10,3,"Matthew Bosher kicks off 67 yards, returned by LaMichael James for 19 yards (tackle by Kemal Ishmael)",0.000,0.060
3,14:53,1,10,SFO 17,10,3,Frank Gore left tackle for no gain (tackle by Peria Jerry),-0.060,-0.580
3,14:13,2,10,SFO 17,10,3,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,-0.580,-1.250
3,14:07,3,10,SFO 17,10,3,"Colin Kaepernick pass incomplete deep right intended for Michael Crabtree. Penalty on Osi Umenyiora: Defensive Offside, 5 yards (no play)",-1.250,-0.620
