#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 16,2,0:49,84,Touchdown
2,1,12:43,OAK 41,5,2:52,38,Interception
3,1,8:30,MIN 47,2,0:59,6,Fumble
4,1,4:45,MIN 27,9,4:49,61,Field Goal
5,2,12:57,MIN 19,1,0:13,-5,Fumble
6,2,11:18,MIN 36,4,2:01,64,Touchdown
7,2,7:20,MIN 16,5,2:45,19,Punt
8,2,1:42,MIN 27,5,0:56,19,Fumble
9,3,10:57,MIN 32,6,2:34,48,Field Goal
10,3,5:46,MIN 14,3,1:14,-6,Punt
11,3,2:44,MIN 26,6,2:52,74,Touchdown
12,4,10:55,MIN 20,8,5:33,29,Punt
13,4,3:23,MIN 40,5,1:28,22,Punt
