Unnamed: 0,OAK,MIN
First Downs,18,25
Rush-Yds-TDs,26-65-0,32-228-3
Cmp-Att-Yd-TD-INT,23-39-344-1-1,19-24-265-0-1
Sacked-Yards,5-37,3-15
Net Pass Yards,307,250
Total Yards,372,478
Fumbles-Lost,2-1,5-4
Turnovers,2,5
Penalties-Yards,10-55,4-30
Third Down Conv.,7-17,1-7
Fourth Down Conv.,0-0,0-0
Time of Possession,30:55,29:05
