0,1
Game Info,Game Info
Won Toss,Broncos (deferred)
Roof,outdoors
Surface,grass
Duration,3:03
Attendance,51500
Weather,"70 degrees, relative humidity 16%, wind 8 mph, wind chill 0"
Vegas Line,Denver Broncos -10.0
Over/Under,53.5 (under)
