Unnamed: 0,DEN,OAK
First Downs,28,17
Rush-Yds-TDs,29-124-0,20-64-0
Cmp-Att-Yd-TD-INT,34-41-351-4-0,21-38-207-2-0
Sacked-Yards,3-17,2-16
Net Pass Yards,334,191
Total Yards,458,255
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,6-56,2-10
Third Down Conv.,9-15,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,35:29,24:31
