Quarter,Time,Tm,Detail,OAK,LAC
1.0,10:57,Raiders,Hunter Renfrow 56 yard pass from Derek Carr (Daniel Carlson kick),7,0
2.0,1:54,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),7,7
,0:08,Raiders,Derek Carr 3 yard rush (Daniel Carlson kick),14,7
3.0,6:11,Raiders,DeAndre Washington 5 yard rush (Daniel Carlson kick),21,7
,1:04,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),21,14
4.0,8:28,Raiders,Daniel Carlson 48 yard field goal,24,14
,1:29,Chargers,Michael Badgley 27 yard field goal,24,17
