Unnamed: 0,OAK,LAC
First Downs,19,21
Rush-Yds-TDs,29-99-2,16-19-2
Cmp-Att-Yd-TD-INT,26-30-291-1-0,27-39-279-0-0
Sacked-Yards,3-24,1-14
Net Pass Yards,267,265
Total Yards,366,284
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,5-47,2-15
Third Down Conv.,7-14,3-11
Fourth Down Conv.,1-1,1-1
Time of Possession,33:24,26:36
