Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Daniel Carlson kicks off 64 yards, returned by Troymaine Pope for 34 yards (tackle by Rod Smith)",0.000,1.270
1,14:51,1,10,LAC 35,0,0,"Penalty on Melvin Gordon: False Start, 5 yards (no play)",1.270,0.940
1,14:51,1,15,LAC 30,0,0,"Philip Rivers pass complete short right to Melvin Gordon for 11 yards (tackle by Erik Harris). Penalty on Trey Pipkins: Illegal Use of Hands, 10 yards (no play)",0.940,0.280
1,14:23,1,25,LAC 20,0,0,Philip Rivers pass complete short middle to Melvin Gordon for 4 yards (tackle by William Compton),0.280,-0.760
1,13:41,2,21,LAC 24,0,0,Philip Rivers pass incomplete deep left intended for Hunter Henry (defended by Nevin Lawson),-0.760,-1.420
1,13:34,3,21,LAC 24,0,0,Philip Rivers pass complete short left to Austin Ekeler for 14 yards (tackle by William Compton),-1.420,-0.850
1,12:56,4,7,LAC 38,0,0,"Ty Long punts 41 yards, returned by Jalen Richard for 8 yards (tackle by Nick Dzubnar)",-0.850,-0.870
1,12:45,1,10,OAK 29,0,0,Derek Carr pass complete short right to Darren Waller for 11 yards (tackle by Adrian Phillips),0.870,1.600
1,12:26,1,10,OAK 40,0,0,Derek Carr pass complete short right to Zay Jones for 4 yards (tackle by Michael Davis),1.600,1.590
1,11:53,2,6,OAK 44,0,0,DeAndre Washington right end for no gain (tackle by Derwin James),1.590,0.890
1,11:07,3,6,OAK 44,6,0,"Derek Carr pass complete short middle to Hunter Renfrow for 56 yards, touchdown",0.890,7.000
1,10:57,,,LAC 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,10:57,,,OAK 35,7,0,"Daniel Carlson kicks off 58 yards, returned by Desmond King for 19 yards (tackle by Keisean Nixon and Nicholas Morrow)",0.000,0.670
1,10:51,1,10,LAC 26,7,0,Melvin Gordon left end for -1 yards (tackle by Clelin Ferrell),0.670,-0.010
1,10:17,2,11,LAC 25,7,0,Philip Rivers pass complete short right to Melvin Gordon for 9 yards (tackle by Lamarcus Joyner),-0.010,0.500
1,9:37,3,2,LAC 34,7,0,Philip Rivers pass incomplete short right intended for Austin Ekeler,0.500,-1.110
1,9:31,4,2,LAC 34,7,0,"Ty Long punts 51 yards, fair catch by Jalen Richard at OAK-15",-1.110,0.220
1,9:22,1,10,OAK 15,7,0,Derek Carr pass complete short left to Jalen Richard for -1 yards (tackle by Derwin James),-0.220,-0.820
1,9:00,2,11,OAK 14,7,0,Derek Carr pass complete short left to Tyrell Williams for 43 yards (tackle by Casey Hayward),-0.820,2.720
1,8:19,1,10,LAC 43,7,0,"DeAndre Washington right end for 8 yards (tackle by Michael Davis). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",2.720,2.060
1,7:52,1,20,OAK 47,7,0,DeAndre Washington up the middle for 5 yards (tackle by Thomas Davis and Denzel Perryman),2.060,1.500
1,7:12,2,15,LAC 48,7,0,Derek Carr pass incomplete short left intended for DeAndre Washington,1.500,0.830
1,7:08,3,15,LAC 48,7,0,Derek Carr pass complete short left to Hunter Renfrow for 6 yards (tackle by Desmond King),0.830,0.460
1,6:33,4,9,LAC 42,7,0,"A.J. Cole punts 42 yards, touchback.",0.460,-0.280
1,6:24,1,10,LAC 20,7,0,Melvin Gordon right guard for 1 yard (tackle by Dion Jordan),0.280,-0.130
1,5:39,2,9,LAC 21,7,0,Melvin Gordon up the middle for -1 yards (tackle by William Compton and Josh Mauro),-0.130,-0.960
1,4:54,3,10,LAC 20,7,0,Philip Rivers pass incomplete short left intended for Hunter Henry (defended by Nevin Lawson),-0.960,-2.030
1,4:48,4,10,LAC 20,7,0,"Ty Long punts 57 yards, returned by Hunter Renfrow for 13 yards (tackle by Derek Watt)",-2.030,-1.330
1,4:34,1,10,OAK 36,7,0,DeAndre Washington up the middle for 1 yard (tackle by Kyzir White),1.330,0.930
1,3:57,2,9,OAK 37,7,0,Derek Carr sacked by and Jerry Tillery for -7 yards and Melvin Ingram for -7 yards,0.930,-0.690
1,3:10,3,16,OAK 30,7,0,Derek Carr pass complete short right to Hunter Renfrow for 12 yards (tackle by Drue Tranquill),-0.690,-0.590
1,2:33,4,4,OAK 42,7,0,"A.J. Cole punts 48 yards, returned by Desmond King for no gain (tackle by Keisean Nixon)",-0.590,0.380
1,2:22,1,10,LAC 10,7,0,Austin Ekeler right end for 4 yards (tackle by Trayvon Mullen and Tahir Whitehead),-0.380,-0.460
1,1:39,2,6,LAC 14,7,0,Philip Rivers pass complete short right to Melvin Gordon for 5 yards (tackle by Trayvon Mullen),-0.460,-0.370
1,1:07,3,1,LAC 19,7,0,Austin Ekeler left end for 5 yards (tackle by William Compton),-0.370,0.540
1,0:29,1,10,LAC 24,7,0,Austin Ekeler left end for 1 yard (tackle by Erik Harris),0.540,0.130
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAC 25,7,0,Philip Rivers pass complete short middle to Hunter Henry for 8 yards (tackle by William Compton),0.130,0.500
2,14:17,3,1,LAC 33,7,0,Philip Rivers pass incomplete short right intended for Keenan Allen,0.500,-1.180
2,14:12,4,1,LAC 33,7,0,"Ty Long punts 51 yards, returned by Hunter Renfrow for 12 yards (tackle by Adrian Phillips and Jatavis Brown)",-1.180,-0.810
2,14:01,1,10,OAK 28,7,0,Derek Carr pass complete short middle to Tyrell Williams for 13 yards (tackle by Michael Davis),0.810,1.660
2,13:34,1,10,OAK 41,7,0,Derek Carr sacked by Melvin Ingram for -8 yards,1.660,0.040
2,12:54,2,18,OAK 33,7,0,DeAndre Washington up the middle for 5 yards (tackle by Brandon Mebane),0.040,0.040
2,12:11,3,13,OAK 38,7,0,Derek Carr pass incomplete short left intended for Hunter Renfrow,0.040,-0.850
2,12:04,4,13,OAK 38,7,0,"A.J. Cole punts 55 yards, returned by Desmond King for 10 yards (tackle by Keisean Nixon)",-0.850,0.060
2,11:53,1,10,LAC 17,7,0,Keenan Allen right end for -5 yards (tackle by Josh Mauro),-0.060,-1.150
2,11:10,2,15,LAC 12,7,0,Philip Rivers pass complete short right to Austin Ekeler for 2 yards (tackle by Nicholas Morrow),-1.150,-1.720
2,10:24,3,13,LAC 14,7,0,Philip Rivers pass complete deep left to Mike Williams for 16 yards (tackle by Nevin Lawson),-1.720,0.940
2,9:41,1,10,LAC 30,7,0,Austin Ekeler left tackle for 1 yard (tackle by Tahir Whitehead),0.940,0.530
2,8:58,2,9,LAC 31,7,0,Philip Rivers pass complete short right to Andre Patton for 8 yards (tackle by Trayvon Mullen and William Compton),0.530,0.890
2,8:16,3,1,LAC 39,7,0,Tyrod Taylor up the middle for -1 yards (tackle by Maxx Crosby),0.890,-0.850
2,7:31,4,2,LAC 38,7,0,"Ty Long punts 44 yards, fair catch by Hunter Renfrow at OAK-18",-0.850,-0.040
2,7:23,1,10,OAK 18,7,0,DeAndre Washington left guard for 6 yards (tackle by Kyzir White),0.040,0.410
2,6:47,2,4,OAK 24,7,0,Derek Carr pass incomplete short right intended for Hunter Renfrow,0.410,-0.400
2,6:43,3,4,OAK 24,7,0,Derek Carr sacked by Joey Bosa for -9 yards,-0.400,-2.440
2,6:05,4,13,OAK 15,7,0,"A.J. Cole punts 74 yards, returned by Desmond King for 11 yards (tackle by Rico Gafford)",-2.440,-0.410
2,5:52,1,10,LAC 22,7,0,Philip Rivers pass incomplete deep middle intended for Keenan Allen,0.410,-0.130
2,5:46,2,10,LAC 22,7,0,Melvin Gordon right guard for 1 yard (tackle by Maxx Crosby),-0.130,-0.690
2,5:01,3,9,LAC 23,7,0,"Philip Rivers pass incomplete deep left intended for Mike Williams. Penalty on Nevin Lawson: Defensive Pass Interference, 17 yards (no play)",-0.690,1.600
2,4:55,1,10,LAC 40,7,0,Melvin Gordon right end for no gain (tackle by Tahir Whitehead),1.600,1.050
2,4:13,2,10,LAC 40,7,0,Philip Rivers pass complete short right to Hunter Henry for 17 yards (tackle by William Compton),1.050,2.720
2,3:44,1,10,OAK 43,7,0,"Melvin Gordon left end for -3 yards (tackle by Lamarcus Joyner). Penalty on Nevin Lawson: Illegal Use of Hands, 5 yards (no play)",2.720,3.050
2,3:15,1,10,OAK 38,7,0,Philip Rivers pass complete short left to Austin Ekeler for 17 yards (tackle by Daryl Worley),3.050,4.170
2,2:38,1,10,OAK 21,7,0,Philip Rivers pass complete short middle to Keenan Allen for 10 yards (tackle by Lamarcus Joyner),4.170,4.840
2,2:07,1,10,OAK 11,7,0,Philip Rivers pass incomplete short left,4.840,4.140
2,2:02,2,10,OAK 11,7,0,"Philip Rivers pass incomplete short right intended for Mike Williams. Penalty on Keisean Nixon: Defensive Pass Interference, 10 yards (no play)",4.140,6.970
2,1:57,1,1,OAK 1,7,6,"Melvin Gordon left tackle for 1 yard, touchdown",6.970,7.000
2,1:54,,,OAK 15,7,7,Michael Badgley kicks extra point good,0.000,0.000
2,1:54,,,LAC 35,7,7,"Ty Long kicks off 65 yards, returned by Keisean Nixon for 25 yards (tackle by Drue Tranquill)",0.000,0.610
2,1:47,1,10,OAK 25,7,7,Derek Carr pass complete short right to Darren Waller for 5 yards (tackle by Desmond King),0.610,0.740
2,1:41,2,5,OAK 30,7,7,Derek Carr pass complete deep middle to Tyrell Williams for 20 yards (tackle by Adrian Phillips),0.740,2.260
2,1:20,1,10,OAK 50,7,7,Derek Carr pass complete short right to Zay Jones for 3 yards (tackle by Michael Davis),2.260,2.120
2,1:16,2,7,LAC 47,7,7,Derek Carr pass complete short middle to Tyrell Williams for 6 yards (tackle by Drue Tranquill and Adrian Phillips),2.120,2.210
2,1:07,,,,,,Timeout #1 by Oakland Raiders,,
2,1:07,3,1,LAC 41,7,7,Jalen Richard left guard for -1 yards (tackle by Justin Jones),2.210,0.460
2,1:03,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:03,4,2,LAC 42,7,7,Derek Carr pass complete short right to Jalen Richard for 10 yards (tackle by Drue Tranquill),0.460,3.450
2,0:58,1,10,LAC 32,7,7,Derek Carr pass complete short middle to Zay Jones for 7 yards (tackle by Drue Tranquill),3.450,3.850
2,0:33,2,3,LAC 25,7,7,Derek Carr pass complete short right to Hunter Renfrow for 13 yards (tackle by Rayshawn Jenkins),3.850,4.780
2,0:26,1,10,LAC 12,7,7,Derek Carr pass complete short middle to Hunter Renfrow for 9 yards (tackle by Adrian Phillips),4.780,5.790
2,0:18,,,,,,Timeout #2 by Oakland Raiders,,
2,0:18,2,1,LAC 3,7,7,Derek Carr pass incomplete short middle,5.790,5.060
2,0:14,3,1,LAC 3,13,7,"Derek Carr right end for 3 yards, touchdown",5.060,7.000
2,0:08,,,LAC 15,14,7,Daniel Carlson kicks extra point good,0.000,0.000
2,0:08,,,OAK 35,14,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:08,1,10,LAC 25,14,7,Tyrod Taylor kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,14,7,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,OAK 25,14,7,DeAndre Washington left end for 4 yards (tackle by Denzel Perryman),0.610,0.600
3,14:19,2,6,OAK 29,14,7,DeAndre Washington left tackle for 6 yards (tackle by Brandon Mebane),0.600,1.270
3,13:36,1,10,OAK 35,14,7,DeAndre Washington up the middle for 4 yards (tackle by Denzel Perryman),1.270,1.260
3,12:56,2,6,OAK 39,14,7,Derek Carr pass complete deep middle to Darren Waller for 20 yards (tackle by Michael Davis),1.260,2.850
3,11:58,1,10,LAC 41,14,7,DeAndre Washington left tackle for 3 yards (tackle by Joey Bosa and Denzel Perryman),2.850,2.710
3,11:16,2,7,LAC 38,14,7,Derek Carr pass complete short left to Derek Carrier for 6 yards (tackle by Thomas Davis),2.710,2.810
3,10:37,3,1,LAC 32,14,7,DeAndre Washington left guard for 5 yards (tackle by Thomas Davis),2.810,3.780
3,9:57,1,10,LAC 27,14,7,DeAndre Washington left tackle for 6 yards (tackle by Melvin Ingram),3.780,4.040
3,9:14,2,4,LAC 21,14,7,Jalen Richard right tackle for 5 yards (tackle by Denzel Perryman),4.040,4.510
3,8:31,1,10,LAC 16,14,7,Jalen Richard right guard for 2 yards (tackle by Kyzir White),4.510,4.210
3,7:48,2,8,LAC 14,14,7,Derek Carr pass complete short middle to Jalen Richard for 3 yards (tackle by Drue Tranquill),4.210,3.940
3,7:01,,,,,,Timeout #1 by Oakland Raiders,,
3,7:01,3,5,LAC 11,14,7,Derek Carr pass complete short left to Jalen Richard for 6 yards (tackle by Casey Hayward),3.940,6.060
3,6:16,1,5,LAC 5,20,7,"DeAndre Washington left guard for 5 yards, touchdown",6.060,7.000
3,6:11,,,LAC 15,21,7,Daniel Carlson kicks extra point good,0.000,0.000
3,6:11,,,OAK 35,21,7,"Daniel Carlson kicks off 68 yards, returned by Desmond King for 20 yards (tackle by Dallin Leavitt)",0.000,-0.060
3,6:06,1,10,LAC 17,21,7,Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Kyle Wilber),-0.060,0.210
