Unnamed: 0,SFO,NWE
First Downs,26,17
Rush-Yds-TDs,37-197-4,22-94-0
Cmp-Att-Yd-TD-INT,20-25-277-0-2,15-25-162-0-4
Sacked-Yards,1-7,2-15
Net Pass Yards,270,147
Total Yards,467,241
Fumbles-Lost,0-0,2-0
Turnovers,2,4
Penalties-Yards,6-65,3-30
Third Down Conv.,5-9,1-6
Fourth Down Conv.,0-0,0-0
Time of Possession,38:23,21:37
