Quarter,Time,Tm,Detail,SFO,NWE
1.0,9:56,49ers,Jeff Wilson 3 yard rush (Robbie Gould kick),7,0
2.0,14:56,Patriots,Nick Folk 40 yard field goal,7,3
,9:00,49ers,Robbie Gould 41 yard field goal,10,3
,6:23,49ers,Kyle Juszczyk 4 yard rush (Robbie Gould kick failed),16,3
,0:59,49ers,Jeff Wilson 16 yard rush (Robbie Gould kick),23,3
3.0,10:48,Patriots,Nick Folk 41 yard field goal,23,6
,7:32,49ers,Jeff Wilson 7 yard rush (Robbie Gould kick),30,6
4.0,13:27,49ers,Robbie Gould 32 yard field goal,33,6
