Unnamed: 0,LVR,CLE
First Downs,20,13
Rush-Yds-TDs,25-98-0,24-89-1
Cmp-Att-Yd-TD-INT,25-38-236-1-1,20-30-147-1-0
Sacked-Yards,2-6,0-0
Net Pass Yards,230,147
Total Yards,328,236
Fumbles-Lost,5-1,0-0
Turnovers,2,0
Penalties-Yards,7-64,3-61
Third Down Conv.,6-13,6-14
Fourth Down Conv.,1-1,1-1
Time of Possession,33:24,26:36
