Unnamed: 0,NOR,OAK
First Downs,19,24
Rush-Yds-TDs,28-151-1,26-120-0
Cmp-Att-Yd-TD-INT,21-28-229-3-0,22-40-312-2-2
Sacked-Yards,0-0,3-28
Net Pass Yards,229,284
Total Yards,380,404
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,11-109,4-40
Third Down Conv.,6-11,4-12
Fourth Down Conv.,0-0,1-3
Time of Possession,28:36,31:24
