Quarter,Time,Tm,Detail,GNB,ARI
1.0,4:16,Cardinals,Jeff Blake 1 yard rush (Bill Gramatica kick),0,7
2.0,6:44,Packers,David Martin 4 yard pass from Brett Favre (Ryan Longwell kick),7,7
,1:17,Packers,Ryan Longwell 40 yard field goal,10,7
,0:05,Cardinals,Bill Gramatica 21 yard field goal,10,10
3.0,7:31,Cardinals,Bill Gramatica 37 yard field goal,10,13
4.0,11:08,Packers,Ryan Longwell 40 yard field goal,13,13
,3:59,Cardinals,James Hodgins 1 yard pass from Jeff Blake (Bill Gramatica kick),13,20
