Unnamed: 0,GNB,ARI
First Downs,18,21
Rush-Yds-TDs,23-66-0,31-81-1
Cmp-Att-Yd-TD-INT,23-33-245-1-1,20-31-273-1-1
Sacked-Yards,0-0,0-0
Net Pass Yards,245,273
Total Yards,311,354
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,4-48,7-57
Third Down Conv.,4-11,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:54,33:06
