Quarter,Time,Tm,Detail,NYJ,JAX
2.0,6:44,Jaguars,Josh Scobee 31 yard field goal,0,3
3.0,9:11,Jets,Shonn Greene 1 yard rush (Nick Folk kick),7,3
,2:53,Jets,Nick Folk 44 yard field goal,10,3
4.0,12:20,Jets,Bilal Powell 4 yard rush (Nick Folk kick),17,3
,7:06,Jaguars,Montell Owens 32 yard rush (Josh Scobee kick),17,10
